band0_weight,band1_weight,pair_count,denominator
0,0,42,42
0,4,2,5183220
0,5,13,40429116
0,6,199,256051068
0,7,886,1353412788
0,8,6249,6090357546
0,9,22733,23684723790
0,10,77818,80528060886
0,11,229206,241584182658
0,12,617747,644224487088
0,13,1470582,1536227623056
0,14,3137031,3291916335120
0,15,6066177,6364371581232
0,16,10570707,11137650267156
0,17,16867193,17689209247836
0,18,24443818,25551080024652
0,19,32077342,33619842137700
0,20,38481993,40343810565240
0,21,42095380,44186078238120
0,22,42098949,44186078238120
0,23,38518085,40343810565240
0,24,32049775,33619842137700
0,25,24362047,25551080024652
0,26,16880166,17689209247836
0,27,10613562,11137650267156
0,28,6080613,6364371581232
0,29,3139434,3291916335120
0,30,1463453,1536227623056
0,31,614147,644224487088
0,32,229067,241584182658
0,33,77819,80528060886
0,34,21942,23684723790
0,35,6034,6090357546
0,36,1181,1353412788
0,37,127,256051068
0,38,16,40429116
0,39,1,5183220
1,3,8,21251202
1,4,172,212512020
1,5,1299,1657593756
1,6,9559,10498093788
1,7,53954,55489924308
1,8,235155,249704659386
1,9,927341,971073675390
1,10,3145046,3301650496326
1,11,9445538,9904951488978
1,12,25187335,26413203970608
1,13,60057072,62985332545296
1,14,128731597,134968569739920
1,15,248859781,260939234830512
1,16,435606115,456643660953396
1,17,691668785,725257579161276
1,18,998863226,1047594281010732
1,19,1314531242,1378413527645700
1,20,1577472753,1654096233174840
1,21,1727731086,1811629207762920
1,22,1727779239,1811629207762920
1,23,1577505489,1654096233174840
1,24,1314528391,1378413527645700
1,25,998965619,1047594281010732
1,26,691796722,725257579161276
1,27,435529502,456643660953396
1,28,248729873,260939234830512
1,29,128761296,134968569739920
1,30,60052583,62985332545296
1,31,25145135,26413203970608
1,32,9472789,9904951488978
1,33,3160747,3301650496326
1,34,926590,971073675390
1,35,237262,249704659386
1,36,52907,55489924308
1,37,10207,10498093788
1,38,1422,1657593756
1,39,121,212512020
1,40,14,21251202
1,41,4,1554966
2,3,313,425024040
2,4,3708,4250240400
2,5,30524,33151875120
2,6,196741,209961875760
2,7,1054077,1109798486160
2,8,4757982,4994093187720
2,9,18581339,19421473507800
2,10,62956749,66033009926520
2,11,188854534,198099029779560
2,12,503703036,528264079412160
2,13,1201394226,1259706650905920
2,14,2574642287,2699371394798400
2,15,4976783927,5218784696610240
2,16,8710085903,9132873219067920
2,17,13833256592,14505151583225520
2,18,19980181329,20951885620214640
2,19,26291576418,27568270552914000
2,20,31549573194,33081924663496800
2,21,34554296450,36232584155258400
2,22,34554879597,36232584155258400
2,23,31548148135,33081924663496800
2,24,26290739461,27568270552914000
2,25,19982392638,20951885620214640
2,26,13833330263,14505151583225520
2,27,8709127270,9132873219067920
2,28,4976843560,5218784696610240
2,29,2574747462,2699371394798400
2,30,1201375589,1259706650905920
2,31,503633321,528264079412160
2,32,188952897,198099029779560
2,33,62984376,66033009926520
2,34,18507659,19421473507800
2,35,4765081,4994093187720
2,36,1068278,1109798486160
2,37,199306,209961875760
2,38,31034,33151875120
2,39,3676,4250240400
2,40,493,425024040
2,41,95,31099320
3,1,8,19251960
3,2,152,404291160
3,3,4797,5525312520
3,4,51296,55253125200
3,5,404932,430974376560
3,6,2602809,2729504384880
3,7,13754145,14427380320080
3,8,62034406,64923211440360
3,9,240905887,252479155601400
3,10,818762377,858429129044760
3,11,2455563490,2575287387134280
3,12,6548728028,6867433032358080
3,13,15617955634,16376186461776960
3,14,33466587543,35091828132379200
3,15,64701538839,67844201055933120
3,16,113226307067,118727351847882960
3,17,179831553076,188566970581931760
3,18,259757184629,272374513062790320
3,19,341783076910,358387517187882000
3,20,410143209946,430065020625458400
3,21,449205826346,471023594018359200
3,22,449203836453,471023594018359200
3,23,410139351975,430065020625458400
3,24,341782611545,358387517187882000
3,25,259759219906,272374513062790320
3,26,179830187771,188566970581931760
3,27,113225442474,118727351847882960
3,28,64703743128,67844201055933120
3,29,33466739606,35091828132379200
3,30,15617282797,16376186461776960
3,31,6549173049,6867433032358080
3,32,2455760437,2575287387134280
3,33,818691724,858429129044760
3,34,240700911,252479155601400
3,35,61936553,64923211440360
3,36,13780658,14427380320080
3,37,2593930,2729504384880
3,38,409502,430974376560
3,39,53192,55253125200
3,40,5425,5525312520
3,41,407,404291160
4,1,131,182893620
4,2,3189,3840766020
4,3,52016,52490468940
4,4,502079,524904689400
4,5,3925100,4094256577320
4,6,24757907,25930291656360
4,7,130651083,137060113040760
4,8,588199405,616770508683420
4,9,2286970490,2398551978213300
4,10,7777733570,8155076725925220
4,11,23332997846,24465230177775660
