band0_weight,band1_weight,count
0,0,1
0,7,3
0,8,34
0,9,156
0,10,469
0,11,1344
0,12,3683
0,13,8812
0,14,18762
0,15,35995
0,16,62616
0,17,100112
0,18,145555
0,19,191616
0,20,229607
0,21,250488
0,22,250188
0,23,228745
0,24,190654
0,25,145372
0,26,100555
0,27,62936
0,28,36273
0,29,18908
0,30,8650
0,31,3609
0,32,1415
0,33,440
0,34,109
0,35,40
0,36,5
1,4,2
1,5,1
1,6,46
1,7,354
1,8,1446
1,9,5769
1,10,19736
1,11,58799
1,12,157123
1,13,375571
1,14,803881
1,15,1552480
1,16,2719130
1,17,4318263
1,18,6235330
1,19,8209369
1,20,9848251
1,21,10780047
1,22,10786075
1,23,9850346
1,24,8206578
1,25,6237807
1,26,4317268
1,27,2718497
1,28,1554433
1,29,802877
1,30,374119
1,31,157172
1,32,59150
1,33,19889
1,34,5874
1,35,1463
1,36,319
1,37,64
1,38,7
2,3,1
2,4,22
2,5,211
2,6,1250
2,7,6832
2,8,31182
2,9,121464
2,10,412580
2,11,1238750
2,12,3301176
2,13,7873771
2,14,16877161
2,15,32624764
2,16,57097984
2,17,90676639
2,18,130962168
2,19,172329466
2,20,206799256
2,21,226502349
2,22,226512281
2,23,206803114
2,24,172322536
2,25,130970891
2,26,90689244
2,27,57094966
2,28,32613920
2,29,16874025
2,30,7875923
2,31,3300928
2,32,1238536
2,33,413405
2,34,121736
2,35,31185
2,36,6970
2,37,1356
2,38,201
2,39,10
2,40,2
2,41,1
3,3,30
3,4,309
3,5,2664
3,6,17731
3,7,95151
3,8,428065
3,9,1660277
3,10,5647704
3,11,16923791
3,12,45111286
3,13,107619663
3,14,230624916
3,15,445854784
3,16,780258651
3,17,1239224286
3,18,1790003976
3,19,2355251075
3,20,2826254316
3,21,3095482277
3,22,3095519010
3,23,2826284422
3,24,2355232737
3,25,1790002170
3,26,1239201544
3,27,780222301
3,28,445871018
3,29,230641769
3,30,107628692
3,31,45126608
3,32,16920945
3,33,5640462
3,34,1657368
3,35,426419
3,36,95295
3,37,17883
3,38,2803
3,39,379
3,40,50
3,41,5
4,2,30
4,3,340
4,4,3694
4,5,28728
4,6,179985
4,7,949481
4,8,4267202
4,9,16587871
4,10,56416257
4,11,169242367
4,12,451293617
4,13,1076204983
4,14,2306243960
4,15,4458637379
4,16,7802356789
4,17,12392106351
4,18,17899931052
4,19,23552626779
4,20,28263196233
4,21,30954613199
4,22,30954559550
4,23,28263034081
4,24,23552428805
4,25,17899882501
4,26,12392257214
4,27,7802479629
4,28,4458613363
4,29,2306213629
4,30,1076217448
4,31,451289057
4,32,169229407
4,33,56418061
4,34,16593206
4,35,4266757
4,36,947557
4,37,179269
4,38,28433
4,39,3666
4,40,357
4,41,32
4,42,1
5,1,4
5,2,196
5,3,2794
5,4,28302
5,5,221615
5,6,1398946
5,7,7393000
5,8,33263879
5,9,129415634
