band0_weight,band1_weight,count
0,0,1
6,22,1
7,19,2
7,21,2
7,23,1
7,27,1
8,16,7
8,18,3
8,20,21
8,22,15
8,24,12
8,26,4
8,28,1
9,15,9
9,17,21
9,19,40
9,21,43
9,23,50
9,25,41
9,27,12
9,29,5
9,31,4
9,33,1
10,12,3
10,14,18
10,16,32
10,18,98
10,20,160
10,22,195
10,24,126
10,26,67
10,28,26
10,30,18
10,32,1
11,13,13
11,15,69
11,17,172
11,19,336
11,21,502
11,23,448
11,25,259
11,27,124
11,29,41
11,31,7
12,12,11
12,14,88
12,16,338
12,18,708
12,20,1225
12,22,1308
12,24,902
12,26,500
12,28,177
12,30,35
12,32,8
13,11,12
13,13,77
13,15,424
13,17,1157
13,19,2139
13,21,2924
13,23,2724
13,25,1727
13,27,744
13,29,192
13,31,44
13,33,2
14,10,8
14,12,66
14,14,461
14,16,1523
14,18,3430
14,20,5561
14,22,6069
14,24,4596
14,26,2485
14,28,819
14,30,209
14,32,38
14,34,2
15,9,12
15,11,58
15,13,364
15,15,1684
15,17,4591
15,19,8513
15,21,11317
15,23,10159
15,25,6497
15,27,2768
15,29,781
15,31,174
15,33,20
16,8,3
16,10,36
16,12,292
16,14,1505
16,16,4778
16,18,10857
16,20,17227
16,22,18663
16,24,14418
16,26,7448
16,28,2719
16,30,663
16,32,99
16,34,9
16,36,2
17,7,7
17,9,14
17,11,128
17,13,1087
17,15,4415
17,17,11430
17,19,22464
17,21,28969
17,23,26679
17,25,16839
17,27,7378
17,29,2237
17,31,438
17,33,46
17,35,5
18,8,1
18,10,84
18,12,567
18,14,3109
18,16,9989
18,18,23599
18,20,36420
18,22,40915
18,24,30585
18,26,16384
18,28,5885
18,30,1404
18,32,229
18,34,21
18,36,1
18,38,1
19,9,30
19,11,259
19,13,1829
19,15,7321
19,17,20294
19,19,38635
19,21,51549
19,23,45583
19,25,29916
19,27,12694
19,29,3814
19,31,762
19,33,86
19,35,6
19,37,1
20,8,9
20,10,73
20,12,838
20,14,4316
20,16,14603
20,18,34028
20,20,53969
20,22,57888
20,24,45249
20,26,23244
20,28,8388
20,30,2028
20,32,322
20,34,29
20,36,2
21,7,2
21,9,24
21,11,313
21,13,2113
21,15,8819
21,17,24321
21,19,46837
21,21,60648
21,23,56438
21,25,35427
21,27,15732
21,29,4453
21,31,929
21,33,124
21,35,8
22,8,3
22,10,94
22,12,919
22,14,4343
22,16,14831
22,18,34108
22,20,53018
22,22,59341
22,24,44123
22,26,23712
22,28,8440
22,30,2095
22,32,311
22,34,28
22,36,1
23,7,3
23,9,24
23,11,271
23,13,1801
23,15,7226
23,17,20521
23,19,38506
23,21,51507
23,23,46292
23,25,29490
23,27,12644
23,29,3698
23,31,720
23,33,93
23,35,6
24,8,8
24,10,90
24,12,600
24,14,3010
24,16,10391
24,18,23207
24,20,37028
24,22,40142
24,24,30520
24,26,15901
24,28,5803
24,30,1377
24,32,224
24,34,17
24,36,3
25,7,1
25,9,27
25,11,174
25,13,977
25,15,4366
25,17,11480
25,19,22513
25,21,28969
25,23,26655
25,25,16708
25,27,7354
25,29,2270
25,31,437
25,33,52
25,35,3
26,8,5
26,10,32
26,12,307
26,14,1334
26,16,4650
26,18,11005
26,20,16960
26,22,19458
26,24,14398
26,26,7733
26,28,2715
26,30,683
26,32,122
26,34,9
26,36,1
27,7,2
27,9,5
27,11,52
27,13,404
27,15,1560
27,17,4467
27,19,8396
27,21,11306
27,23,10347
27,25,6464
27,27,2824
27,29,818
27,31,171
27,33,25
28,10,14
28,12,90
28,14,437
28,16,1559
28,18,3462
28,20,5448
28,22,6023
28,24,4570
28,26,2386
28,28,891
28,30,197
28,32,23
28,34,4
29,9,1
29,11,18
29,13,98
29,15,468
29,17,1173
29,19,2263
29,21,2923
29,23,2753
29,25,1686
29,27,758
29,29,220
29,31,47
29,33,6
30,8,1
30,10,1
30,12,11
30,14,88
30,16,339
30,18,737
30,20,1157
30,22,1282
30,24,924
30,26,491
30,28,192
30,30,39
30,32,7
31,11,1
31,13,15
31,15,73
31,17,188
31,19,356
31,21,467
31,23,398
31,25,252
31,27,122
31,29,40
31,31,6
32,12,1
32,14,18
32,16,45
32,18,108
32,20,168
32,22,169
32,24,150
32,26,80
32,28,23
32,30,6
33,13,5
33,15,10
33,17,13
33,19,38
33,21,42
33,23,41
33,25,32
33,27,11
33,29,4
34,14,1
34,18,5
34,20,17
34,22,8
34,24,14
34,26,11
34,28,2
35,15,1
35,17,1
35,19,2
35,21,3
35,23,1
35,25,1
36,20,1
36,24,1
