isolated early-count tau fit
  best-fit tau over h=1..10: 0.084
  best-fit objective      : 13.518237
  first safe tau          : 0.111
  worst over-bound bits   : 1.844870

enum_WC12_WC120.120.12.txt: n=120 cut=13 L=28 tau=0.111
h, exact, model, gap_bits
1, 2.166138e-01, 3.184333e-01, 0.555866
2, 4.738072e-02, 9.661013e-02, 1.027874
3, 1.051203e-02, 2.784253e-02, 1.405249
4, 2.377701e-03, 7.597842e-03, 1.676023
5, 5.514039e-04, 1.956593e-03, 1.827162
6, 1.318968e-04, 4.738004e-04, 1.844870
7, 3.273014e-05, 1.074887e-04, 1.715494
8, 8.467465e-06, 2.275809e-05, 1.426377
9, 2.291057e-06, 4.479306e-06, 0.967262
10, 6.491173e-07, 8.163477e-07, 0.330704

enum_WC16_WC128.128.16.txt: n=128 cut=16 L=32 tau=0.111
h, exact, model, gap_bits
1, 2.499962e-01, 3.332500e-01, 0.414699
2, 6.299425e-02, 1.064267e-01, 0.756568
3, 1.603292e-02, 3.249241e-02, 1.019066
4, 4.130371e-03, 9.458899e-03, 1.195401
5, 1.079411e-03, 2.618404e-03, 1.278443
6, 2.867617e-04, 6.872519e-04, 1.260987
7, 7.761826e-05, 1.705149e-04, 1.135430
8, 2.145133e-05, 3.986604e-05, 0.894093
9, 6.066972e-06, 8.754236e-06, 0.529005
10, 1.759762e-06, 1.799502e-06, 0.032217

