series,family,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"extended BCH [8,4,4] exact",bch,structured,8,4,8,256,10,52,0.1015625,-1.2817356261840742,4,-2.0
"extended BCH [8,4,4] exact",bch,structured,8,4,9,512,11,103,0.1005859375,-1.9570078456930793,4,-3.0
"extended BCH [8,4,4] exact",bch,structured,8,4,10,1024,12,205,0.10009765625,-2.8684250098380266,4,-3.5
"extended BCH [8,4,4] exact",bch,structured,8,4,11,2048,13,410,0.10009765625,-4.032315551225732,4,-4.5
"extended BCH [8,4,4] exact",bch,structured,8,4,12,4096,14,820,0.10009765625,-4.818841264901388,4,-5.0
"extended BCH [8,4,4] exact",bch,structured,8,4,13,8192,15,1639,0.10003662109375,-5.812567768100033,4,-5.700000000000015
"extended BCH [8,4,4] exact",bch,structured,8,4,14,16384,16,3277,0.100006103515625,-6.811060343408202,4,-6.400000000000013
"extended BCH [8,4,4] exact",bch,structured,8,4,15,32768,17,6554,0.100006103515625,-7.808898886584417,4,-7.000000000000011
"extended BCH [8,4,4] exact",bch,structured,8,4,16,65536,18,13108,0.100006103515625,-8.80571589607514,4,-7.700000000000008
"extended BCH [8,4,4] exact",bch,structured,8,4,17,131072,19,26215,0.10000228881835938,-9.802911907417435,4,-8.400000000000006
"extended BCH [8,4,4] exact",bch,structured,8,4,18,262144,20,52429,0.10000038146972656,-10.80085072986268,4,-9.100000000000003
"extended BCH [8,4,4] exact",bch,structured,8,4,19,524288,21,104858,0.10000038146972656,-11.799463905046364,4,-9.8
"extended BCH [8,4,4] exact",bch,structured,8,4,20,1048576,22,209716,0.10000038146972656,-12.798554519327409,4,-10.5
"extended BCH [32,16,8] exact",bch,structured,32,16,8,256,10,52,0.1015625,4.106764702032891,8,-1.5
"extended BCH [32,16,8] exact",bch,structured,32,16,9,512,11,103,0.1005859375,3.580172018539194,8,-2.0
"extended BCH [32,16,8] exact",bch,structured,32,16,10,1024,12,205,0.10009765625,2.7402315783104196,8,-3.0
"extended BCH [32,16,8] exact",bch,structured,32,16,11,2048,13,410,0.10009765625,2.0994309227649874,8,-3.5
"extended BCH [32,16,8] exact",bch,structured,32,16,12,4096,14,820,0.10009765625,0.9510287806639252,8,-4.0
"extended BCH [32,16,8] exact",bch,structured,32,16,13,8192,15,1639,0.10003662109375,0.06320278921502326,8,-5.0
"extended BCH [32,16,8] exact",bch,structured,32,16,14,16384,16,3277,0.100006103515625,-0.8022939164147497,8,-5.500000000000016
"extended BCH [32,16,8] exact",bch,structured,32,16,15,32768,17,6554,0.100006103515625,-1.7910435440955899,8,-6.2000000000000135
"extended BCH [32,16,8] exact",bch,structured,32,16,16,65536,18,13108,0.100006103515625,-2.7840669710401156,8,-6.900000000000011
"extended BCH [32,16,8] exact",bch,structured,32,16,17,131072,19,26215,0.10000228881835938,-3.778824378675344,8,-7.6000000000000085
"extended BCH [32,16,8] exact",bch,structured,32,16,18,262144,20,52429,0.10000038146972656,-4.775501964031627,8,-8.300000000000006
"extended BCH [32,16,8] exact",bch,structured,32,16,19,524288,21,104858,0.10000038146972656,-5.773640116443531,8,-9.000000000000004
"extended BCH [32,16,8] exact",bch,structured,32,16,20,1048576,22,209716,0.10000038146972656,-6.772649713585214,8,-9.700000000000001
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,8,256,10,52,0.1015625,11.68328432850844,12,-1.0
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,9,512,11,103,0.1005859375,11.915619466530433,12,-2.0
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,10,1024,12,205,0.10009765625,11.738377105898673,12,-2.5
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,11,2048,13,410,0.10009765625,11.017886854449163,12,-3.0
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,12,4096,14,820,0.10009765625,9.999007838019594,12,-4.0
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,13,8192,15,1639,0.10003662109375,9.263079334658968,12,-4.5
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,14,16384,16,3277,0.100006103515625,8.389624509365044,12,-5.200000000000017
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,15,32768,17,6554,0.100006103515625,7.4148963134706625,12,-5.900000000000015
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,16,65536,18,13108,0.100006103515625,6.423391847923895,12,-6.600000000000012
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,17,131072,19,26215,0.10000228881835938,5.427723020428154,12,-7.30000000000001
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,18,262144,20,52429,0.10000038146972656,4.428500116992864,12,-8.000000000000007
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,19,524288,21,104858,0.10000038146972656,3.4268299009396155,12,-8.700000000000005
"Philips shortened-XBCH [64,32,12] exact",bch,structured,64,32,20,1048576,22,209716,0.10000038146972656,2.4266205208454332,12,-9.300000000000002
"extended BCH [128,64,22] exact",bch,structured,128,64,8,256,10,52,0.1015625,25.878521941971314,22,-0.5
"extended BCH [128,64,22] exact",bch,structured,128,64,9,512,11,103,0.1005859375,28.32300517622677,22,-1.5
"extended BCH [128,64,22] exact",bch,structured,128,64,10,1024,12,205,0.10009765625,29.693948379636534,22,-2.0
"extended BCH [128,64,22] exact",bch,structured,128,64,11,2048,13,410,0.10009765625,30.013770335419977,22,-2.5
"extended BCH [128,64,22] exact",bch,structured,128,64,12,4096,14,820,0.10009765625,29.09687504438958,22,-3.0
"extended BCH [128,64,22] exact",bch,structured,128,64,13,8192,15,1639,0.10003662109375,28.468879663234567,22,-4.0
"extended BCH [128,64,22] exact",bch,structured,128,64,14,16384,16,3277,0.100006103515625,27.909202294864212,22,-4.5
"extended BCH [128,64,22] exact",bch,structured,128,64,15,32768,17,6554,0.100006103515625,27.021466613024288,22,-5.200000000000017
"extended BCH [128,64,22] exact",bch,structured,128,64,16,65536,18,13108,0.100006103515625,26.060323172177586,22,-5.900000000000015
"extended BCH [128,64,22] exact",bch,structured,128,64,17,131072,19,26215,0.10000228881835938,25.08282961731936,22,-6.600000000000012
"extended BCH [128,64,22] exact",bch,structured,128,64,18,262144,20,52429,0.10000038146972656,24.09477541102343,22,-7.30000000000001
"extended BCH [128,64,22] exact",bch,structured,128,64,19,524288,21,104858,0.10000038146972656,23.100235810893334,22,-8.000000000000007
"extended BCH [128,64,22] exact",bch,structured,128,64,20,1048576,22,209716,0.10000038146972656,22.102223788540968,22,-8.700000000000005
"RM(1,3) [8,4,4] exact",rm,structured,8,4,8,256,10,52,0.1015625,-1.2817356261840742,4,-2.0
"RM(1,3) [8,4,4] exact",rm,structured,8,4,9,512,11,103,0.1005859375,-1.9570078456930793,4,-3.0
