series,family,outer_model,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,state_bits,step_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal
"extended BCH [8,4,4] exact",bch,fixed,8,4,8,256,64,512,51,7,64,1,20.360543531742746,4,0.0
"extended BCH [8,4,4] exact",bch,fixed,8,4,9,512,128,1024,102,7,64,2,1.040189009148237,4,-2.3999999999999986
"extended BCH [8,4,4] exact",bch,fixed,8,4,10,1024,256,2048,204,7,64,4,-0.09473412316662676,4,-3.299999999999999
"extended BCH [8,4,4] exact",bch,fixed,8,4,11,2048,512,4096,409,7,64,8,-1.0550388267367996,4,-4.0
"extended BCH [8,4,4] exact",bch,fixed,8,4,12,4096,1024,8192,819,8,64,16,-0.9035430044723809,4,-4.699999999999999
"extended BCH [8,4,4] exact",bch,fixed,8,4,13,8192,2048,16384,1638,9,64,32,-0.7915432153938827,4,-5.3
"extended BCH [8,4,4] exact",bch,fixed,8,4,14,16384,4096,32768,3276,10,64,64,-0.7428536896933395,4,-5.8999999999999995
"extended BCH [8,4,4] exact",bch,fixed,8,4,15,32768,8192,65536,6553,11,64,128,-0.7454175204470876,4,-6.6
"extended BCH [8,4,4] exact",bch,fixed,8,4,16,65536,16384,131072,13107,12,64,256,-0.761397422865668,4,-7.199999999999999
"extended BCH [8,4,4] exact",bch,fixed,8,4,17,131072,32768,262144,26214,13,64,512,-0.8267805519110278,4,-7.8
"extended BCH [8,4,4] exact",bch,fixed,8,4,18,262144,65536,524288,52428,14,64,1024,-0.890532638893487,4,-8.5
"extended BCH [8,4,4] exact",bch,fixed,8,4,19,524288,131072,1048576,104857,15,64,2048,-0.9836024512460126,4,-9.1
"extended BCH [8,4,4] exact",bch,fixed,8,4,20,1048576,262144,2097152,209715,16,64,4096,-1.091660095885132,4,-9.8
"extended BCH [32,16,8] exact",bch,fixed,32,16,10,1024,64,2048,204,7,64,1,4.195210586418991,8,-2.6999999999999993
"extended BCH [32,16,8] exact",bch,fixed,32,16,11,2048,128,4096,409,7,64,2,2.96770714626531,8,-3.5
"extended BCH [32,16,8] exact",bch,fixed,32,16,12,4096,256,8192,819,8,64,4,3.495338689689831,8,-4.1
"extended BCH [32,16,8] exact",bch,fixed,32,16,13,8192,512,16384,1638,9,64,8,3.9119979789098713,8,-4.699999999999999
"extended BCH [32,16,8] exact",bch,fixed,32,16,14,16384,1024,32768,3276,10,64,16,4.139795018136571,8,-5.3
"extended BCH [32,16,8] exact",bch,fixed,32,16,15,32768,2048,65536,6553,11,64,32,4.190117400615439,8,-5.8999999999999995
"extended BCH [32,16,8] exact",bch,fixed,32,16,16,65536,4096,131072,13107,12,64,64,4.098575865041087,8,-6.5
"extended BCH [32,16,8] exact",bch,fixed,32,16,17,131072,8192,262144,26214,13,64,128,3.8959607059245194,8,-7.1
"extended BCH [32,16,8] exact",bch,fixed,32,16,18,262144,16384,524288,52428,14,64,256,3.6066495734431405,8,-7.7
"extended BCH [32,16,8] exact",bch,fixed,32,16,19,524288,32768,1048576,104857,15,64,512,3.2515011786111727,8,-8.3
"extended BCH [32,16,8] exact",bch,fixed,32,16,20,1048576,65536,2097152,209715,16,64,1024,2.846364061588874,8,-8.9
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,11,2048,64,4096,409,7,64,1,10.928207890352068,12,-3.1999999999999993
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,12,4096,128,8192,819,8,64,2,11.777079540509082,12,-3.9000000000000004
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,13,8192,256,16384,1638,9,64,4,12.538630459392904,12,-4.5
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,14,16384,512,32768,3276,10,64,8,12.959356933194393,12,-5.1
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,15,32768,1024,65536,6553,11,64,16,13.036168823385212,12,-5.699999999999999
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,16,65536,2048,131072,13107,12,64,32,12.815978330928063,12,-6.3
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,17,131072,4096,262144,26214,13,64,64,12.365007688888332,12,-7.0
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,18,262144,8192,524288,52428,14,64,128,11.736613062096398,12,-7.6
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,19,524288,16384,1048576,104857,15,64,256,10.956876554016963,12,-8.3
"Philips shortened-XBCH [64,32,12] exact",bch,fixed,64,32,20,1048576,32768,2097152,209715,16,64,512,10.089313973984618,12,-8.9
"extended BCH [128,64,22] exact",bch,fixed,128,64,12,4096,64,8192,819,8,64,1,29.38569962762371,22,-3.299999999999999
"extended BCH [128,64,22] exact",bch,fixed,128,64,13,8192,128,16384,1638,9,64,2,31.17414850156397,22,-3.9000000000000004
"extended BCH [128,64,22] exact",bch,fixed,128,64,14,16384,256,32768,3276,10,64,4,32.608305153698005,22,-4.5
"extended BCH [128,64,22] exact",bch,fixed,128,64,15,32768,512,65536,6553,11,64,8,33.53409284199739,22,-5.199999999999999
"extended BCH [128,64,22] exact",bch,fixed,128,64,16,65536,1024,131072,13107,12,64,16,33.96633639389293,22,-5.8
"extended BCH [128,64,22] exact",bch,fixed,128,64,17,131072,2048,262144,26214,13,64,32,33.94678515286404,22,-6.5
"extended BCH [128,64,22] exact",bch,fixed,128,64,18,262144,4096,524288,52428,14,64,64,33.666101429414006,22,-7.1
"extended BCH [128,64,22] exact",bch,fixed,128,64,19,524288,8192,1048576,104857,15,64,128,33.082984644743306,22,-7.8
"extended BCH [128,64,22] exact",bch,fixed,128,64,20,1048576,16384,2097152,209715,16,64,256,32.33784925772823,22,-8.4
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,8,256,64,512,51,7,64,1,20.360543531742746,4,0.0
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,9,512,128,1024,102,7,64,2,1.040189009148237,4,-2.3999999999999986
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,10,1024,256,2048,204,7,64,4,-0.09473412316662676,4,-3.299999999999999
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,11,2048,512,4096,409,7,64,8,-1.0550388267367996,4,-4.0
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,12,4096,1024,8192,819,8,64,16,-0.9035430044723809,4,-4.699999999999999
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,13,8192,2048,16384,1638,9,64,32,-0.7915432153938827,4,-5.3
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,14,16384,4096,32768,3276,10,64,64,-0.7428536896933395,4,-5.8999999999999995
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,15,32768,8192,65536,6553,11,64,128,-0.7454175204470876,4,-6.6
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,16,65536,16384,131072,13107,12,64,256,-0.761397422865668,4,-7.199999999999999
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,17,131072,32768,262144,26214,13,64,512,-0.8267805519110278,4,-7.8
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,18,262144,65536,524288,52428,14,64,1024,-0.890532638893487,4,-8.5
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,19,524288,131072,1048576,104857,15,64,2048,-0.9836024512460126,4,-9.1
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,20,1048576,262144,2097152,209715,16,64,4096,-1.091660095885132,4,-9.8
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,10,1024,64,2048,204,7,64,1,4.195210586418991,8,-2.6999999999999993
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,11,2048,128,4096,409,7,64,2,2.96770714626531,8,-3.5
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,12,4096,256,8192,819,8,64,4,3.495338689689831,8,-4.1
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,13,8192,512,16384,1638,9,64,8,3.9119979789098713,8,-4.699999999999999
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,14,16384,1024,32768,3276,10,64,16,4.139795018136571,8,-5.3
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,15,32768,2048,65536,6553,11,64,32,4.190117400615439,8,-5.8999999999999995
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,16,65536,4096,131072,13107,12,64,64,4.098575865041087,8,-6.5
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,17,131072,8192,262144,26214,13,64,128,3.8959607059245194,8,-7.1
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,18,262144,16384,524288,52428,14,64,256,3.6066495734431405,8,-7.7
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,19,524288,32768,1048576,104857,15,64,512,3.2515011786111727,8,-8.3
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,20,1048576,65536,2097152,209715,16,64,1024,2.846364061588874,8,-8.9
