series,family,outer_model,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,state_bits,step_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal
"extended BCH [8,4,4] exact",bch,fixed,8,4,8,256,64,512,51,16,64,1,14.264879127999752,4,-0.6999999999999993
"extended BCH [8,4,4] exact",bch,fixed,8,4,9,512,128,1024,102,16,64,2,9.379530003173864,4,-2.0
"extended BCH [8,4,4] exact",bch,fixed,8,4,10,1024,256,2048,204,16,64,4,8.245188051091134,4,-2.799999999999999
"extended BCH [8,4,4] exact",bch,fixed,8,4,11,2048,512,4096,409,16,64,8,7.4945759192002885,4,-3.5
"extended BCH [8,4,4] exact",bch,fixed,8,4,12,4096,1024,8192,819,16,64,16,6.7293099478583525,4,-4.199999999999999
"extended BCH [8,4,4] exact",bch,fixed,8,4,13,8192,2048,16384,1638,16,64,32,5.887986499832613,4,-4.8999999999999995
"extended BCH [8,4,4] exact",bch,fixed,8,4,14,16384,4096,32768,3276,16,64,64,4.975119081313092,4,-5.6
"extended BCH [8,4,4] exact",bch,fixed,8,4,15,32768,8192,65536,6553,16,64,128,4.01696638190269,4,-6.3
"extended BCH [8,4,4] exact",bch,fixed,8,4,16,65536,16384,131072,13107,16,64,256,3.0352052598540387,4,-7.0
"extended BCH [8,4,4] exact",bch,fixed,8,4,17,131072,32768,262144,26214,16,64,512,2.0378542372337303,4,-7.7
"extended BCH [8,4,4] exact",bch,fixed,8,4,18,262144,65536,524288,52428,16,64,1024,1.0242301093159325,4,-8.4
"extended BCH [8,4,4] exact",bch,fixed,8,4,19,524288,131072,1048576,104857,16,64,2048,-0.012813381090647454,4,-9.1
"extended BCH [8,4,4] exact",bch,fixed,8,4,20,1048576,262144,2097152,209715,16,64,4096,-1.091660095885132,4,-9.8
"extended BCH [32,16,8] exact",bch,fixed,32,16,10,1024,64,2048,204,16,64,1,10.404948383874832,8,-1.8999999999999986
