constituent,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,inner,configuration,step_bits,state_bits,persistence_exponent,epochs_per_region,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,margin_bits,dominant_weight,dominant_log_surprisal
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m26,1,26,26.0,512,,,,11.504308776001233,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s20,64,20,26.0,8,16,8,0,11.255396443946442,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t128_s19,128,19,26.0,4,48,6,0,10.532304320695948,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t256_s18,256,18,26.0,2,96,4,576,9.687933044899907,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m26,1,26,26.0,2048,,,,8.642180644982993,8,-5.3
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t64_s20,64,20,26.0,32,16,8,0,9.801456343833138,8,-5.1
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t128_s19,128,19,26.0,16,48,6,0,9.265133444697621,8,-5.199999999999999
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t256_s18,256,18,26.0,8,96,4,576,8.587845398947474,8,-5.3
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m26,1,26,26.0,128,,,,39.328757568007234,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s20,64,20,26.0,2,16,8,0,38.775812328343434,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t128_s19,128,19,26.0,1,48,6,0,38.26814372861058,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m26,1,26,26.0,512,,,,37.58237858811776,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t64_s20,64,20,26.0,8,16,8,0,37.49967514341649,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t128_s19,128,19,26.0,4,48,6,0,37.33462150655633,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t256_s18,256,18,26.0,2,96,4,576,37.024450591442594,22,-5.0
