constituent,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,inner,configuration,comparison,reference_rm2sub_state_bits,step_bits,state_bits,persistence_exponent,epochs_per_region,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,margin_bits,dominant_weight,dominant_log_surprisal
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m15,same-stored-state-bits,15,1,15,15.0,512,,,,0.19198367171044017,8,-4.8999999999999995
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m21,same-live-state-reset-rate,15,1,21,21.0,512,,,,8.518282113215372,8,-4.199999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s15,rm2sub,15,64,15,21.0,8,24,6,0,8.948294215701376,8,-4.1
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m16,same-stored-state-bits,16,1,16,16.0,512,,,,2.330481610909466,8,-4.699999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m22,same-live-state-reset-rate,16,1,22,22.0,512,,,,9.248723850562234,8,-4.1
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s16,rm2sub,16,64,16,22.0,8,16,6,0,9.467363091074555,8,-4.1
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m18,same-stored-state-bits,18,1,18,18.0,512,,,,5.512682355785146,8,-4.5
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m24,same-live-state-reset-rate,18,1,24,24.0,512,,,,10.47368887262176,8,-3.9000000000000004
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s18,rm2sub,18,64,18,24.0,8,16,6,0,10.450823523817352,8,-3.9000000000000004
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m19,same-stored-state-bits,19,1,19,19.0,512,,,,6.692421107210341,8,-4.3999999999999995
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m25,same-live-state-reset-rate,19,1,25,25.0,512,,,,10.981948943781234,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s19,rm2sub,19,64,19,25.0,8,16,6,0,10.871888853408905,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m20,same-stored-state-bits,20,1,20,20.0,512,,,,7.678481777823368,8,-4.3
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m26,same-live-state-reset-rate,20,1,26,26.0,512,,,,11.504308776001233,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s20,rm2sub,20,64,20,26.0,8,16,8,0,11.255396443946442,8,-3.799999999999999
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m15,same-stored-state-bits,15,1,15,15.0,2048,,,,-7.485537259508718,8,-6.5
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m21,same-live-state-reset-rate,15,1,21,21.0,2048,,,,4.745898414120027,8,-5.8
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t64_s15,rm2sub,15,64,15,21.0,32,24,6,0,7.281465808567282,8,-5.5
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m16,same-stored-state-bits,16,1,16,16.0,2048,,,,-4.3867084717713025,8,-6.3999999999999995
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m22,same-live-state-reset-rate,16,1,22,22.0,2048,,,,5.744633784608389,8,-5.699999999999999
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t64_s16,rm2sub,16,64,16,22.0,32,16,6,0,7.848505357269057,8,-5.3999999999999995
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m18,same-stored-state-bits,18,1,18,18.0,2048,,,,0.3615523133017338,8,-6.1
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m24,same-live-state-reset-rate,18,1,24,24.0,2048,,,,7.352901346001409,8,-5.5
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t64_s18,rm2sub,18,64,18,24.0,32,16,6,0,8.889741206473408,8,-5.3
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m19,same-stored-state-bits,19,1,19,19.0,2048,,,,2.117822313948388,8,-6.0
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m25,same-live-state-reset-rate,19,1,25,25.0,2048,,,,8.027962862229892,8,-5.3999999999999995
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t64_s19,rm2sub,19,64,19,25.0,32,16,6,0,9.38088360189117,8,-5.199999999999999
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m20,same-stored-state-bits,20,1,20,20.0,2048,,,,3.5564644097147657,8,-5.8999999999999995
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RandomStepConv,m26,same-live-state-reset-rate,20,1,26,26.0,2048,,,,8.642180644982993,8,-5.3
"extended BCH [32,16,8]",32,16,15,32768,2048,65536,6553,RM2Sub,t64_s20,rm2sub,20,64,20,26.0,32,16,8,0,9.801456343833138,8,-5.1
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m15,same-stored-state-bits,15,1,15,15.0,128,,,,28.861704714789266,22,-3.9000000000000004
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m21,same-live-state-reset-rate,15,1,21,21.0,128,,,,38.75155701619205,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s15,rm2sub,15,64,15,21.0,2,24,6,0,38.32056611476642,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m16,same-stored-state-bits,16,1,16,16.0,128,,,,32.17110268022505,22,-3.799999999999999
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m22,same-live-state-reset-rate,16,1,22,22.0,128,,,,39.034462931194994,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s16,rm2sub,16,64,16,22.0,2,16,6,0,38.5460358692438,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m18,same-stored-state-bits,18,1,18,18.0,128,,,,36.3064428935577,22,-3.6999999999999993
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m24,same-live-state-reset-rate,18,1,24,24.0,128,,,,39.2670236924435,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s18,rm2sub,18,64,18,24.0,2,16,6,0,38.72823157457438,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m19,same-stored-state-bits,19,1,19,19.0,128,,,,37.48284406783526,22,-3.6999999999999993
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m25,same-live-state-reset-rate,19,1,25,25.0,128,,,,39.30802900726849,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s19,rm2sub,19,64,19,25.0,2,16,6,0,38.75985351036947,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m20,same-stored-state-bits,20,1,20,20.0,128,,,,38.25167020002742,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m26,same-live-state-reset-rate,20,1,26,26.0,128,,,,39.328757568007234,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s20,rm2sub,20,64,20,26.0,2,16,8,0,38.775812328343434,22,-3.5999999999999996
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m15,same-stored-state-bits,15,1,15,15.0,512,,,,16.79851691268479,22,-5.3999999999999995
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m21,same-live-state-reset-rate,15,1,21,21.0,512,,,,35.74982110809779,22,-5.0
