k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.106,222298,32,256,4096,40,1,-inf,,-2.237843,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,2,-inf,,-4.475684,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,3,-inf,,-6.713526,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,4,-inf,,-8.951366,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,5,-inf,,-11.189206,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,6,-inf,,-13.427045,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,7,-inf,,-15.664883,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,8,-inf,,-17.902721,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,9,-inf,,-20.140558,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,10,-inf,,-22.378394,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,11,-inf,,-24.616229,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,12,-inf,,-26.854064,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,13,-inf,,-29.091897,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,14,-inf,,-31.329731,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,15,-inf,,-33.567563,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,16,-inf,,-35.805394,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,17,-inf,,-38.043225,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,18,-inf,,-40.281055,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,19,-inf,,-42.518884,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,20,-inf,,-44.756712,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,21,-inf,,-46.994540,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,22,-inf,,-49.232366,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,23,-inf,,-51.470191,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,24,-inf,,-53.708016,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,25,-inf,,-55.945839,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,26,-inf,,-58.183662,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,27,-inf,,-60.421483,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,28,-inf,,-62.659303,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,29,-inf,,-64.897122,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,30,-inf,,-67.134939,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,31,-inf,,-69.372755,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,32,-inf,,-71.610569,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,33,-inf,,-73.848382,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,34,-inf,,-76.086193,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,256,4096,40,35,-inf,,-78.324002,-inf,-inf
