k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h_max,model,singleton_volume,total_log2,margin_bits,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
1048576,1048576,2097152,0.106,222298,32,256,4096,40,220,floor-total,1,996.617369,-996.617369,220,996.556502,1472.114533,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,45,220,floor-total,1,833.341337,-833.341337,220,833.238023,1308.796054,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,50,220,floor-total,1,702.739261,-702.739261,220,702.580347,1178.138378,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,55,220,floor-total,1,601.511707,-601.511707,220,601.290719,1076.848750,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,60,220,floor-total,1,506.896696,-506.896696,220,506.586646,982.144677,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,65,220,floor-total,1,437.514988,-437.514988,220,437.123651,912.681682,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,70,220,floor-total,1,372.292060,-372.292060,220,371.794154,847.352184,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,75,220,floor-total,1,311.219310,-311.219310,220,310.578697,786.136727,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,80,220,floor-total,1,271.428196,-271.428196,220,270.697420,746.255451,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,85,220,floor-total,1,222.210273,-222.210273,220,221.243838,696.801868,-475.558031
1048576,1048576,2097152,0.106,222298,32,256,4096,90,220,floor-total,1,181.016530,-181.016530,220,179.892650,655.450680,-475.558031
