k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048640,2097280,0.106,222311,32,80,13108,12,1,-inf,,-2.237846,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,2,-inf,,-4.475692,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,3,-inf,,-6.713537,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,4,-inf,,-8.951381,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,5,-inf,,-11.189224,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,6,-inf,,-13.427067,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,7,-inf,,-15.664909,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,8,-inf,,-17.902750,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,9,-inf,,-20.140591,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,10,-inf,,-22.378431,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,11,-inf,,-24.616270,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,12,12,-2.456096,0.141400061521,-26.854108,-29.310204,-29.310204
1048576,1048640,2097280,0.106,222311,32,80,13108,12,13,0.366049,0.141400061521,-29.091945,-28.725896,-27.988668
1048576,1048640,2097280,0.106,222311,32,80,13108,12,14,3.188195,0.141400061521,-31.329782,-28.141587,-27.063103
1048576,1048640,2097280,0.106,222311,32,80,13108,12,15,6.010340,0.141400061521,-33.567618,-27.557278,-26.289134
1048576,1048640,2097280,0.106,222311,32,80,13108,12,16,8.832486,0.141400061521,-35.805453,-26.972968,-25.590908
1048576,1048640,2097280,0.106,222311,32,80,13108,12,17,11.654631,0.141400061521,-38.043288,-26.388657,-24.935331
1048576,1048640,2097280,0.106,222311,32,80,13108,12,18,14.476776,0.141400061521,-40.281121,-25.804345,-24.305372
1048576,1048640,2097280,0.106,222311,32,80,13108,12,19,17.298922,0.141400061521,-42.518954,-25.220033,-23.691398
1048576,1048640,2097280,0.106,222311,32,80,13108,12,20,20.121067,0.141400061521,-44.756786,-24.635719,-23.087636
1048576,1048640,2097280,0.106,222311,32,80,13108,12,21,22.943212,0.141400061521,-46.994617,-24.051405,-22.490495
1048576,1048640,2097280,0.106,222311,32,80,13108,12,22,25.765358,0.141400061521,-49.232447,-23.467090,-21.897689
1048576,1048640,2097280,0.106,222311,32,80,13108,12,23,28.587503,0.141400061521,-51.470276,-22.882773,-21.307737
1048576,1048640,2097280,0.106,222311,32,80,13108,12,24,31.252331,0.173712159159,-53.708104,-22.455773,-20.770452
1048576,1048640,2097280,0.106,222311,32,80,13108,12,25,33.742427,0.192539805332,-55.945932,-22.203505,-20.315911
1048576,1048640,2097280,0.106,222311,32,80,13108,12,26,36.119198,0.192539805332,-58.183758,-22.064559,-19.940087
1048576,1048640,2097280,0.106,222311,32,80,13108,12,27,38.492887,0.21340807009,-60.421583,-21.928695,-19.615874
1048576,1048640,2097280,0.106,222311,32,80,13108,12,28,40.721201,0.21340807009,-62.659406,-21.938206,-19.352906
1048576,1048640,2097280,0.106,222311,32,80,13108,12,29,42.949514,0.21340807009,-64.897229,-21.947715,-19.131916
1048576,1048640,2097280,0.106,222311,32,80,13108,12,30,45.082886,0.236538124161,-67.135050,-22.052164,-18.952909
1048576,1048640,2097280,0.106,222311,32,80,13108,12,31,47.162741,0.236538124161,-69.372869,-22.210128,-18.809402
1048576,1048640,2097280,0.106,222311,32,80,13108,12,32,49.228925,0.262175109676,-71.610687,-22.381762,-18.692951
1048576,1048640,2097280,0.106,222311,32,80,13108,12,33,51.160322,0.262175109676,-73.848504,-22.688181,-18.605207
1048576,1048640,2097280,0.106,222311,32,80,13108,12,34,53.091720,0.262175109676,-76.086318,-22.994598,-18.537960
1048576,1048640,2097280,0.106,222311,32,80,13108,12,35,54.970255,0.290590738289,-78.324131,-23.353875,-18.487628
1048576,1048640,2097280,0.106,222311,32,80,13108,12,36,56.753195,0.290590738289,-80.561941,-23.808746,-18.451985
1048576,1048640,2097280,0.106,222311,32,80,13108,12,37,58.536134,0.290590738289,-82.799749,-24.263615,-18.426524
1048576,1048640,2097280,0.106,222311,32,80,13108,12,38,60.319073,0.290590738289,-85.037554,-24.718480,-18.408229
1048576,1048640,2097280,0.106,222311,32,80,13108,12,39,62.075170,0.322086170895,-87.275356,-25.200186,-18.395268
1048576,1048640,2097280,0.106,222311,32,80,13108,12,40,63.709651,0.322086170895,-89.513155,-25.803504,-18.386799
1048576,1048640,2097280,0.106,222311,32,80,13108,12,41,65.344133,0.322086170895,-91.750951,-26.406818,-18.381252
1048576,1048640,2097280,0.106,222311,32,80,13108,12,42,66.978614,0.322086170895,-93.988742,-27.010128,-18.377612
1048576,1048640,2097280,0.106,222311,32,80,13108,12,43,68.613095,0.322086170895,-96.226529,-27.613434,-18.375221
1048576,1048640,2097280,0.106,222311,32,80,13108,12,44,70.247577,0.322086170895,-98.464311,-28.216734,-18.373650
1048576,1048640,2097280,0.106,222311,32,80,13108,12,45,71.882058,0.322086170895,-100.702087,-28.820029,-18.372616
1048576,1048640,2097280,0.106,222311,32,80,13108,12,46,73.516539,0.322086170895,-102.939857,-29.423318,-18.371936
1048576,1048640,2097280,0.106,222311,32,80,13108,12,47,75.151021,0.322086170895,-105.177620,-30.026600,-18.371489
1048576,1048640,2097280,0.106,222311,32,80,13108,12,48,76.785502,0.322086170895,-107.415376,-30.629873,-18.371194
1048576,1048640,2097280,0.106,222311,32,80,13108,12,49,78.419984,0.322086170895,-109.653122,-31.233138,-18.371001
1048576,1048640,2097280,0.106,222311,32,80,13108,12,50,80.054465,0.322086170895,-111.890859,-31.836394,-18.370873
1048576,1048640,2097280,0.106,222311,32,80,13108,12,51,81.688946,0.322086170895,-114.128584,-32.439638,-18.370789
1048576,1048640,2097280,0.106,222311,32,80,13108,12,52,83.323428,0.322086170895,-116.366297,-33.042869,-18.370734
1048576,1048640,2097280,0.106,222311,32,80,13108,12,53,84.957909,0.322086170895,-118.603995,-33.646086,-18.370697
1048576,1048640,2097280,0.106,222311,32,80,13108,12,54,86.592391,0.322086170895,-120.841678,-34.249288,-18.370674
1048576,1048640,2097280,0.106,222311,32,80,13108,12,55,88.226872,0.322086170895,-123.079343,-34.852471,-18.370658
1048576,1048640,2097280,0.106,222311,32,80,13108,12,56,89.861353,0.322086170895,-125.316987,-35.455634,-18.370647
1048576,1048640,2097280,0.106,222311,32,80,13108,12,57,91.495835,0.322086170895,-127.554609,-36.058774,-18.370641
1048576,1048640,2097280,0.106,222311,32,80,13108,12,58,93.130316,0.322086170895,-129.792205,-36.661889,-18.370636
1048576,1048640,2097280,0.106,222311,32,80,13108,12,59,94.764797,0.322086170895,-132.029772,-37.264975,-18.370633
1048576,1048640,2097280,0.106,222311,32,80,13108,12,60,96.399279,0.322086170895,-134.267306,-37.868028,-18.370631
1048576,1048640,2097280,0.106,222311,32,80,13108,12,61,98.033760,0.322086170895,-136.504804,-38.471044,-18.370630
