k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048640,2097280,0.106,222311,32,80,13108,41,1,-inf,,-2.237846,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,2,-inf,,-4.475692,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,3,-inf,,-6.713537,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,4,-inf,,-8.951381,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,5,-inf,,-11.189224,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,6,-inf,,-13.427067,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,7,-inf,,-15.664909,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,8,-inf,,-17.902750,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,9,-inf,,-20.140591,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,10,-inf,,-22.378431,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,11,-inf,,-24.616270,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,12,-inf,,-26.854108,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,13,-inf,,-29.091945,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,14,-inf,,-31.329782,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,15,-inf,,-33.567618,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,16,-inf,,-35.805453,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,17,-inf,,-38.043288,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,18,-inf,,-40.281121,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,19,-inf,,-42.518954,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,20,-inf,,-44.756786,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,21,-inf,,-46.994617,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,22,-inf,,-49.232447,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,23,-inf,,-51.470276,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,24,-inf,,-53.708104,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,25,-inf,,-55.945932,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,26,-inf,,-58.183758,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,27,-inf,,-60.421583,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,28,-inf,,-62.659406,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,29,-inf,,-64.897229,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,30,-inf,,-67.135050,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,31,-inf,,-69.372869,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,32,-inf,,-71.610687,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,33,-inf,,-73.848504,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,34,-inf,,-76.086318,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,35,-inf,,-78.324131,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,36,-inf,,-80.561941,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,37,-inf,,-82.799749,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,38,-inf,,-85.037554,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,39,-inf,,-87.275356,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,40,-inf,,-89.513155,-inf,-inf
1048576,1048640,2097280,0.106,222311,32,80,13108,41,41,62.125786,0.192539805332,-91.750951,-29.625165,-29.625165
