k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h_max,model,singleton_volume,total_log2,margin_bits,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
1048576,1048640,2097280,0.106,222311,32,80,13108,41,160,random-like,0,-27.045834,27.045834,43,-29.380730,66.845799,-96.226529
1048576,1048640,2097280,0.106,222311,32,80,13108,42,160,random-like,0,-27.908048,27.908048,44,-30.208211,68.256100,-98.464311
1048576,1048640,2097280,0.106,222311,32,80,13108,43,160,random-like,0,-28.794320,28.794320,45,-31.069436,69.632652,-100.702087
1048576,1048640,2097280,0.106,222311,32,80,13108,44,160,random-like,0,-29.709571,29.709571,46,-31.990096,70.949761,-102.939857
1048576,1048640,2097280,0.106,222311,32,80,13108,45,160,random-like,0,-30.515366,30.515366,45,-32.683737,68.018350,-100.702087
1048576,1048640,2097280,0.106,222311,32,80,13108,46,160,random-like,0,-31.518521,31.518521,46,-33.671820,69.268037,-102.939857
1048576,1048640,2097280,0.106,222311,32,80,13108,47,160,random-like,0,-32.550431,32.550431,47,-34.681270,70.496351,-105.177620
1048576,1048640,2097280,0.106,222311,32,80,13108,48,160,random-like,0,-33.645355,33.645355,48,-35.778174,71.637201,-107.415376
1048576,1048640,2097280,0.106,222311,32,80,13108,49,160,random-like,0,-34.906443,34.906443,49,-37.202645,72.450477,-109.653122
1048576,1048640,2097280,0.106,222311,32,80,13108,50,160,random-like,0,-36.318937,36.318937,50,-38.797031,73.093828,-111.890859
1048576,1048640,2097280,0.106,222311,32,80,13108,51,160,random-like,0,-37.004269,37.004269,51,-38.902067,75.226517,-114.128584
1048576,1048640,2097280,0.106,222311,32,80,13108,52,160,random-like,0,-38.238479,38.238479,52,-40.109393,76.256904,-116.366297
1048576,1048640,2097280,0.106,222311,32,80,13108,53,160,random-like,0,-39.522395,39.522395,53,-41.371573,77.232422,-118.603995
1048576,1048640,2097280,0.106,222311,32,80,13108,54,160,random-like,0,-40.854439,40.854439,54,-42.681403,78.160275,-120.841678
1048576,1048640,2097280,0.106,222311,32,80,13108,55,160,random-like,0,-42.213794,42.213794,55,-44.009138,79.070205,-123.079343
1048576,1048640,2097280,0.106,222311,32,80,13108,56,160,random-like,0,-43.719783,43.719783,56,-45.581964,79.735023,-125.316987
1048576,1048640,2097280,0.106,222311,32,80,13108,57,160,random-like,0,-45.340948,45.340948,57,-47.324693,80.229916,-127.554609
1048576,1048640,2097280,0.106,222311,32,80,13108,58,160,random-like,0,-46.440686,46.440686,58,-48.037715,81.754490,-129.792205
1048576,1048640,2097280,0.106,222311,32,80,13108,59,160,random-like,0,-47.937165,47.937165,59,-49.516524,82.513248,-132.029772
1048576,1048640,2097280,0.106,222311,32,80,13108,60,160,random-like,0,-49.467550,49.467550,60,-51.032879,83.234427,-134.267306
1048576,1048640,2097280,0.106,222311,32,80,13108,61,160,random-like,0,-51.043273,51.043273,61,-52.619087,83.885717,-136.504804
1048576,1048640,2097280,0.106,222311,32,80,13108,62,160,random-like,0,-52.700428,52.700428,62,-54.317463,84.424797,-138.742260
1048576,1048640,2097280,0.106,222311,32,80,13108,63,160,random-like,0,-54.388759,54.388759,63,-56.038513,84.941157,-140.979669
1048576,1048640,2097280,0.106,222311,32,80,13108,64,160,random-like,0,-56.186506,56.186506,64,-57.929435,85.287592,-143.217026
1048576,1048640,2097280,0.106,222311,32,80,13108,65,160,random-like,0,-57.617040,57.617040,65,-59.055382,86.398942,-145.454324
1048576,1048640,2097280,0.106,222311,32,80,13108,66,160,random-like,0,-59.382360,59.382360,66,-60.792502,86.899053,-147.691555
1048576,1048640,2097280,0.106,222311,32,80,13108,67,160,random-like,0,-61.189350,61.189350,67,-62.564794,87.363917,-149.928710
1048576,1048640,2097280,0.106,222311,32,80,13108,68,160,random-like,0,-63.036816,63.036816,68,-64.389763,87.776018,-152.165781
1048576,1048640,2097280,0.106,222311,32,80,13108,69,160,random-like,0,-64.907684,64.907684,69,-66.242349,88.160408,-154.402757
1048576,1048640,2097280,0.106,222311,32,80,13108,70,160,random-like,0,-66.815453,66.815453,70,-68.155710,88.483916,-156.639626
1048576,1048640,2097280,0.106,222311,32,80,13108,71,160,random-like,0,-69.076812,69.076812,71,-70.609518,88.266855,-158.876374
1048576,1048640,2097280,0.106,222311,32,80,13108,72,160,random-like,0,-70.647835,70.647835,72,-71.880262,89.232724,-161.112986
1048576,1048640,2097280,0.106,222311,32,80,13108,73,160,random-like,0,-72.645099,72.645099,73,-73.874366,89.475081,-163.349447
1048576,1048640,2097280,0.106,222311,32,80,13108,74,160,random-like,0,-74.679585,74.679585,74,-75.911560,89.674176,-165.585736
1048576,1048640,2097280,0.106,222311,32,80,13108,75,160,random-like,0,-76.756567,76.756567,75,-78.002981,89.818852,-167.821833
1048576,1048640,2097280,0.106,222311,32,80,13108,76,160,random-like,0,-78.885444,78.885444,76,-80.158971,89.898745,-170.057715
1048576,1048640,2097280,0.106,222311,32,80,13108,77,160,random-like,0,-81.139510,81.139510,77,-82.438201,89.855154,-172.293355
1048576,1048640,2097280,0.106,222311,32,80,13108,78,160,random-like,0,-83.941544,83.941544,78,-85.361016,89.167707,-174.528724
1048576,1048640,2097280,0.106,222311,32,80,13108,79,160,random-like,0,-85.375810,85.375810,79,-86.456761,90.307027,-176.763788
1048576,1048640,2097280,0.106,222311,32,80,13108,80,160,random-like,0,-87.629750,87.629750,80,-88.693648,90.304864,-178.998512
