k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h_max,model,singleton_volume,total_log2,margin_bits,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
1048576,1048640,2097280,0.106,222311,40,80,13108,12,160,random-like,0,-18.370660,18.370660,27,-21.928713,38.492887,-60.421601
1048576,1048640,2097280,0.106,222311,40,80,13108,13,160,random-like,0,-18.371749,18.371749,27,-21.928896,38.492705,-60.421601
1048576,1048640,2097280,0.106,222311,40,80,13108,14,160,random-like,0,-18.373581,18.373581,27,-21.929331,38.492270,-60.421601
1048576,1048640,2097280,0.106,222311,40,80,13108,15,160,random-like,0,-18.376875,18.376875,27,-21.931952,38.489649,-60.421601
1048576,1048640,2097280,0.106,222311,40,80,13108,16,160,random-like,0,-18.382622,18.382622,27,-21.938982,38.482618,-60.421601
1048576,1048640,2097280,0.106,222311,40,80,13108,17,160,random-like,0,-18.394989,18.394989,28,-21.945807,40.713621,-62.659428
1048576,1048640,2097280,0.106,222311,40,80,13108,18,160,random-like,0,-18.418733,18.418733,28,-21.952960,40.706468,-62.659428
1048576,1048640,2097280,0.106,222311,40,80,13108,19,160,random-like,0,-18.482298,18.482298,28,-21.965169,40.694259,-62.659428
1048576,1048640,2097280,0.106,222311,40,80,13108,20,160,random-like,0,-18.597040,18.597040,28,-21.984853,40.674575,-62.659428
1048576,1048640,2097280,0.106,222311,40,80,13108,21,160,random-like,0,-18.839874,18.839874,28,-22.014994,40.644434,-62.659428
1048576,1048640,2097280,0.106,222311,40,80,13108,22,160,random-like,0,-18.687951,18.687951,28,-22.066715,40.592713,-62.659428
1048576,1048640,2097280,0.106,222311,40,80,13108,23,160,random-like,0,-18.811450,18.811450,29,-22.130019,42.767235,-64.897254
1048576,1048640,2097280,0.106,222311,40,80,13108,24,160,random-like,0,-18.965500,18.965500,29,-22.212835,42.684419,-64.897254
1048576,1048640,2097280,0.106,222311,40,80,13108,25,160,random-like,0,-19.161591,19.161591,30,-22.330104,44.804976,-67.135080
1048576,1048640,2097280,0.106,222311,40,80,13108,26,160,random-like,0,-19.377402,19.377402,30,-22.466230,44.668850,-67.135080
1048576,1048640,2097280,0.106,222311,40,80,13108,27,160,random-like,0,-19.681824,19.681824,31,-22.643288,46.729617,-69.372905
1048576,1048640,2097280,0.106,222311,40,80,13108,28,160,random-like,0,-20.027778,20.027778,32,-22.854407,48.756322,-71.610729
1048576,1048640,2097280,0.106,222311,40,80,13108,29,160,random-like,0,-20.348954,20.348954,33,-23.130710,50.717842,-73.848553
1048576,1048640,2097280,0.106,222311,40,80,13108,30,160,random-like,0,-20.838752,20.838752,34,-23.502845,52.583530,-76.086375
1048576,1048640,2097280,0.106,222311,40,80,13108,31,160,random-like,0,-20.894579,20.894579,34,-23.703138,52.383237,-76.086375
1048576,1048640,2097280,0.106,222311,40,80,13108,32,160,random-like,0,-21.330078,21.330078,35,-24.090407,54.233790,-78.324197
1048576,1048640,2097280,0.106,222311,40,80,13108,33,160,random-like,0,-21.804216,21.804216,35,-24.478900,53.845297,-78.324197
1048576,1048640,2097280,0.106,222311,40,80,13108,34,160,random-like,0,-22.348606,22.348606,36,-24.975602,55.586417,-80.562019
1048576,1048640,2097280,0.106,222311,40,80,13108,35,160,random-like,0,-22.999282,22.999282,38,-25.557662,59.479997,-85.037659
1048576,1048640,2097280,0.106,222311,40,80,13108,36,160,random-like,0,-23.676202,23.676202,39,-26.152806,61.122672,-87.275478
1048576,1048640,2097280,0.106,222311,40,80,13108,37,160,random-like,0,-24.380034,24.380034,40,-26.825962,62.687334,-89.513297
1048576,1048640,2097280,0.106,222311,40,80,13108,38,160,random-like,0,-24.722704,24.722704,40,-27.180314,62.332983,-89.513297
1048576,1048640,2097280,0.106,222311,40,80,13108,39,160,random-like,0,-25.444179,25.444179,41,-27.862223,63.888891,-91.751114
1048576,1048640,2097280,0.106,222311,40,80,13108,40,160,random-like,0,-26.206739,26.206739,42,-28.597455,65.391476,-93.988931
