k,k_eff,N,delta,d,sigma,block_bits,local_length,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,1,-inf,,-2.473911,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,2,-inf,,-4.947821,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,3,-inf,,-7.421730,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,4,-inf,,-9.895638,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,5,-inf,,-12.369546,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,6,-inf,,-14.843453,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,7,-inf,,-17.317359,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,8,-inf,,-19.791265,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,9,-inf,,-22.265170,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,10,-inf,,-24.739074,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,11,-inf,,-27.212977,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,12,-inf,,-29.686880,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,13,-inf,,-32.160782,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,14,-inf,,-34.634683,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,15,-inf,,-37.108583,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,16,-inf,,-39.582482,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,17,-inf,,-42.056381,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,18,-inf,,-44.530279,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,19,-inf,,-47.004175,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,20,-inf,,-49.478071,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,21,-inf,,-51.951966,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,22,31.895575,1e-08,-54.425861,-22.530285,-22.530285
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,23,35.552141,0.132709122393,-56.899754,-21.347613,-20.821008
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,24,38.266890,0.170798426769,-59.373646,-21.106756,-19.956819
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,25,40.663796,0.202087410346,-61.847537,-21.183741,-19.443603
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,26,42.877295,0.219819874178,-64.321426,-21.444131,-19.121781
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,27,44.942993,0.239108299725,-66.795315,-21.852322,-18.919307
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,28,46.887923,0.260089217188,-69.269202,-22.381279,-18.793988
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,29,48.771656,0.282911136817,-71.743088,-22.971433,-18.716380
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,30,50.593235,0.282911136817,-74.216973,-23.623738,-18.669089
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,31,52.414814,0.282911136817,-76.690856,-24.276042,-18.639788
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,32,54.236393,0.282911136817,-79.164737,-24.928344,-18.621449
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,33,56.057972,0.282911136817,-81.638616,-25.580644,-18.609901
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,34,57.849325,0.307735600116,-84.112494,-26.263169,-18.602752
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,35,59.549561,0.307735600116,-86.586369,-27.036807,-18.598587
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,36,61.249798,0.307735600116,-89.060242,-27.810443,-18.596156
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,37,62.950035,0.307735600116,-91.534112,-28.584077,-18.594736
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,38,64.650272,0.307735600116,-94.007979,-29.357708,-18.593906
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,39,66.350508,0.307735600116,-96.481843,-30.131335,-18.593421
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,40,68.050745,0.307735600116,-98.955704,-30.904959,-18.593137
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,41,69.750982,0.307735600116,-101.429561,-31.678579,-18.592971
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,42,71.451219,0.307735600116,-103.903413,-32.452195,-18.592874
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,43,73.151455,0.307735600116,-106.377261,-33.225806,-18.592817
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,44,74.851692,0.307735600116,-108.851104,-33.999412,-18.592784
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,45,76.551929,0.307735600116,-111.324940,-34.773011,-18.592764
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,46,78.252166,0.307735600116,-113.798770,-35.546605,-18.592753
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,47,79.952402,0.307735600116,-116.272593,-36.320191,-18.592746
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,48,81.652639,0.307735600116,-118.746407,-37.093768,-18.592742
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,49,83.352876,0.307735600116,-121.220212,-37.867336,-18.592740
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,50,85.053113,0.307735600116,-123.694007,-38.640895,-18.592739
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,51,86.753349,0.307735600116,-126.167791,-39.414441,-18.592738
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,52,88.453586,0.307735600116,-128.641561,-40.187975,-18.592738
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,53,90.153823,0.307735600116,-131.115317,-40.961494,-18.592737
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,54,91.854060,0.307735600116,-133.589056,-41.734996,-18.592737
1048576,1048576,2097152,0.09,188743,32,64,128,16384,22,55,93.554296,0.307735600116,-136.062777,-42.508481,-18.592737
