input_weight,output_weight,count
6,24,52
6,26,175
6,28,1629
6,30,4900
6,32,18732
6,34,43769
6,36,106603
6,38,236979
6,40,482214
6,42,877622
6,44,1532877
6,46,2418391
6,48,3661047
6,50,4999817
6,52,6543759
6,54,7695452
6,56,8624146
6,58,8633265
6,60,8192533
6,62,6863708
6,64,5404957
6,66,3720576
6,68,2389504
6,70,1339050
6,72,690223
6,74,305683
6,76,124563
6,78,43964
6,80,13557
6,82,3562
6,84,886
6,86,155
6,88,16
6,90,2
58,34,1
58,36,7
58,38,58
58,40,331
58,42,1781
58,44,8641
58,46,33693
58,48,116832
58,50,339959
58,52,875011
58,54,1885669
58,56,3616251
58,58,5826756
58,60,8413436
58,62,10234509
58,64,11181782
58,66,10329908
58,68,8590126
58,70,6047661
58,72,3832778
58,74,2052766
58,76,984935
58,78,399402
58,80,143639
58,82,43539
58,84,11683
58,86,2588
58,88,515
58,90,90
58,92,18
58,94,2
58,96,1
7,26,239
7,28,2027
7,30,7970
7,32,27346
7,34,89351
7,36,260172
7,38,642932
7,40,1487387
7,42,3077027
7,44,6049288
7,46,10603596
7,48,17979098
7,50,27266899
7,52,39662430
7,54,51888327
7,56,64500475
7,58,71581395
7,60,75125758
7,62,69639364
7,64,60565115
7,66,46210718
7,68,32814747
7,70,20307956
7,72,11614137
7,74,5731401
7,76,2585977
7,78,1004155
7,80,351388
7,82,104108
7,84,27837
7,86,6064
7,88,1287
7,90,197
7,92,23
7,94,1
57,34,5
57,36,22
57,38,246
57,40,1372
57,42,8368
57,44,40732
57,46,165198
57,48,600945
57,50,1826464
57,52,4944906
57,54,11210782
57,56,22741028
57,58,38854626
57,60,59579638
57,62,77190139
57,64,90058955
57,66,89011051
57,68,79354614
57,70,60018545
57,72,40968567
57,74,23705066
57,76,12354631
57,78,5436826
57,80,2150196
57,82,714987
57,84,211884
57,86,52187
57,88,11672
57,90,2131
57,92,349
57,94,49
57,96,9
57,98,2
8,24,284
8,26,2011
8,28,9999
8,30,43237
8,32,153232
8,34,500525
8,36,1448276
8,38,3735732
8,40,8987108
8,42,19130539
8,44,38735788
8,46,70257136
8,48,121741132
8,50,189518808
8,52,280989558
8,54,372477104
8,56,468176022
8,58,522020234
8,60,547494088
8,62,505537644
8,64,435953589
8,66,328723080
8,68,229864362
8,70,139492248
8,72,78010812
8,74,37557224
8,76,16497607
8,78,6197054
8,80,2106900
8,82,607330
8,84,156358
8,86,32774
8,88,6461
8,90,985
8,92,120
8,94,7
56,32,9
56,34,82
56,36,709
56,38,4986
56,40,30648
56,42,152756
56,44,677515
56,46,2512352
56,48,8288501
56,50,22917659
56,52,56663716
56,54,117987896
56,56,220507503
56,58,348093110
56,60,495075420
56,62,596517250
56,64,649058929
56,66,599684442
56,68,500937360
56,70,355477152
56,72,228018813
56,74,124055879
56,76,60839262
56,78,25243744
56,80,9403643
56,82,2949213
56,84,824987
56,86,193320
56,88,40297
56,90,6928
56,92,1099
56,94,164
56,96,21
56,98,3
9,24,124
9,26,1424
9,28,10375
9,30,49754
9,32,222694
9,34,815759
9,36,2734848
9,38,7981502
9,40,21568688
9,42,51451091
9,44,115842181
9,46,232511254
9,48,444401487
9,50,758322708
9,52,1231952494
9,54,1783917845
9,56,2445030738
9,58,2970365506
9,60,3391365497
9,62,3407524947
9,64,3196300509
9,66,2620551173
9,68,1992602047
9,70,1315693213
9,72,800459659
9,74,420138783
9,76,201660141
9,78,82841892
9,80,30884758
9,82,9764021
9,84,2780805
9,86,666260
9,88,140870
9,90,25019
9,92,3868
9,94,497
9,96,73
9,98,8
55,32,15
55,34,217
55,36,1910
55,38,13997
55,40,90274
55,42,479859
55,44,2271780
55,46,8908793
55,48,31118941
55,50,91194152
55,52,238991885
55,54,527621050
55,56,1046654570
55,58,1755934573
55,60,2655781789
55,62,3407277636
55,64,3951083485
55,66,3894127744
55,68,3474317006
55,70,2635976377
55,72,1810321810
55,74,1056133523
55,76,556579782
55,78,248478144
55,80,99814423
55,82,33829393
55,84,10253449
55,86,2604771
55,88,590820
55,90,110910
55,92,18506
55,94,2587
55,96,309
55,98,30
55,100,2
