band,inside_weight,outside_weight,count
0,0,0,1
0,0,22,3
0,0,24,118
0,0,26,671
0,0,28,3866
0,0,30,13921
0,0,32,43785
0,0,34,109278
0,0,36,233018
0,0,38,402145
0,0,40,590021
0,0,42,697314
0,0,44,709212
0,0,46,580251
0,0,48,407489
0,0,50,230346
0,0,52,111314
0,0,54,43076
0,0,56,13893
0,0,58,3635
0,0,60,798
0,0,62,124
0,0,64,21
0,0,66,4
0,1,21,157
0,1,23,2218
0,1,25,13849
0,1,27,74117
0,1,29,306863
0,1,31,1064340
0,1,33,2945874
0,1,35,6935319
0,1,37,13074376
0,1,39,21081628
0,1,41,27356049
0,1,43,30455886
0,1,45,27353777
0,1,47,21075768
0,1,49,13073215
0,1,51,6938274
0,1,53,2947756
0,1,55,1065562
0,1,57,306426
0,1,59,73181
0,1,61,13644
0,1,63,2196
0,1,65,267
0,1,67,23
0,1,69,3
0,41,17,3
0,41,19,23
0,41,21,267
0,41,23,2196
0,41,25,13644
0,41,27,73181
0,41,29,306426
0,41,31,1065562
0,41,33,2947756
0,41,35,6938274
0,41,37,13073215
0,41,39,21075768
0,41,41,27353777
0,41,43,30455886
0,41,45,27356049
0,41,47,21081628
0,41,49,13074376
0,41,51,6935319
0,41,53,2945874
0,41,55,1064340
0,41,57,306863
0,41,59,74117
0,41,61,13849
0,41,63,2218
0,41,65,157
0,42,20,4
0,42,22,21
0,42,24,124
0,42,26,798
0,42,28,3635
0,42,30,13893
0,42,32,43076
0,42,34,111314
0,42,36,230346
0,42,38,407489
0,42,40,580251
0,42,42,709212
0,42,44,697314
0,42,46,590021
0,42,48,402145
0,42,50,233018
0,42,52,109278
0,42,54,43785
0,42,56,13921
0,42,58,3866
0,42,60,671
0,42,62,118
0,42,64,3
0,42,86,1
1,0,0,1
1,0,22,1
1,0,24,81
1,0,26,457
1,0,28,2614
1,0,30,9102
1,0,32,27443
1,0,34,66202
1,0,36,135303
1,0,38,224497
1,0,40,315517
1,0,42,357198
1,0,44,346125
1,0,46,269223
1,0,48,180707
1,0,50,96476
1,0,52,43857
1,0,54,16058
1,0,56,4850
1,0,58,1137
1,0,60,261
1,0,62,31
1,0,64,9
1,0,66,2
1,1,21,113
1,1,23,1655
1,1,25,10034
1,1,27,52219
1,1,29,208189
1,1,31,697472
1,1,33,1857626
1,1,35,4208802
1,1,37,7629584
1,1,39,11797663
1,1,41,14651849
1,1,43,15590808
1,1,45,13352365
1,1,47,9784597
1,1,49,5757335
1,1,51,2891114
1,1,53,1159462
1,1,55,392574
1,1,57,105901
1,1,59,23517
1,1,61,3982
1,1,63,599
1,1,65,71
1,1,67,4
1,1,69,1
1,42,16,1
1,42,18,4
1,42,20,71
1,42,22,599
1,42,24,3982
1,42,26,23517
1,42,28,105901
1,42,30,392574
1,42,32,1159462
1,42,34,2891114
1,42,36,5757335
1,42,38,9784597
1,42,40,13352365
1,42,42,15590808
1,42,44,14651849
1,42,46,11797663
1,42,48,7629584
1,42,50,4208802
1,42,52,1857626
1,42,54,697472
1,42,56,208189
1,42,58,52219
1,42,60,10034
1,42,62,1655
1,42,64,113
1,43,19,2
1,43,21,9
1,43,23,31
1,43,25,261
1,43,27,1137
1,43,29,4850
1,43,31,16058
1,43,33,43857
1,43,35,96476
1,43,37,180707
1,43,39,269223
1,43,41,346125
1,43,43,357198
1,43,45,315517
1,43,47,224497
1,43,49,135303
1,43,51,66202
1,43,53,27443
1,43,55,9102
1,43,57,2614
1,43,59,457
1,43,61,81
1,43,63,1
1,43,85,1
2,0,0,1
2,0,22,3
2,0,24,100
2,0,26,467
2,0,28,2466
2,0,30,9148
2,0,32,27553
2,0,34,66266
2,0,36,135312
2,0,38,224592
2,0,40,315566
2,0,42,355782
2,0,44,347118
2,0,46,270316
2,0,48,179730
2,0,50,96546
2,0,52,43796
2,0,54,16001
2,0,56,4890
2,0,58,1227
2,0,60,236
2,0,62,36
2,1,21,96
2,1,23,1778
2,1,25,9776
2,1,27,52319
2,1,29,209020
2,1,31,695721
2,1,33,1857572
2,1,35,4212233
2,1,37,7625950
2,1,39,11797755
2,1,41,14656450
2,1,43,15585721
2,1,45,13352924
2,1,47,9785779
2,1,49,5756924
2,1,51,2892275
2,1,53,1158246
2,1,55,393315
2,1,57,105418
2,1,59,23496
2,1,61,4068
2,1,63,628
2,1,65,68
2,1,67,4
2,42,18,4
2,42,20,68
2,42,22,628
2,42,24,4068
2,42,26,23496
2,42,28,105418
2,42,30,393315
2,42,32,1158246
2,42,34,2892275
2,42,36,5756924
2,42,38,9785779
2,42,40,13352924
2,42,42,15585721
2,42,44,14656450
2,42,46,11797755
2,42,48,7625950
2,42,50,4212233
2,42,52,1857572
2,42,54,695721
2,42,56,209020
2,42,58,52319
2,42,60,9776
2,42,62,1778
2,42,64,96
2,43,23,36
2,43,25,236
2,43,27,1227
2,43,29,4890
2,43,31,16001
2,43,33,43796
2,43,35,96546
2,43,37,179730
2,43,39,270316
2,43,41,347118
2,43,43,355782
2,43,45,315566
2,43,47,224592
2,43,49,135312
2,43,51,66266
2,43,53,27553
2,43,55,9148
2,43,57,2466
2,43,59,467
2,43,61,100
2,43,63,3
2,43,85,1
