band,outside_weight,inside_weight,count
0,5,23,3
0,6,16,3
0,6,18,12
0,6,20,14
0,6,22,24
0,6,24,27
0,6,26,4
0,6,28,3
0,7,15,40
0,7,17,145
0,7,19,186
0,7,21,316
0,7,23,282
0,7,25,123
0,7,27,65
0,7,29,9
0,7,31,5
0,8,14,222
0,8,16,1033
0,8,18,1930
0,8,20,3122
0,8,22,2858
0,8,24,1931
0,8,26,994
0,8,28,297
0,8,30,74
0,8,32,6
1,4,24,1
1,5,19,2
1,5,23,3
1,5,25,2
1,6,16,4
1,6,18,21
1,6,20,28
1,6,22,48
1,6,24,51
1,6,26,17
1,6,28,8
1,7,15,60
1,7,17,225
1,7,19,337
1,7,21,584
1,7,23,518
1,7,25,285
1,7,27,176
1,7,29,34
1,7,31,14
1,8,14,294
1,8,16,1466
1,8,18,3101
1,8,20,5190
1,8,22,5358
1,8,24,4041
1,8,26,2216
1,8,28,788
1,8,30,190
1,8,32,29
1,8,34,3
2,5,23,3
2,5,25,5
2,6,16,3
2,6,18,17
2,6,20,27
2,6,22,37
2,6,24,52
2,6,26,17
2,6,28,7
2,6,30,1
2,7,15,74
2,7,17,258
2,7,19,403
2,7,21,561
2,7,23,525
2,7,25,282
2,7,27,168
2,7,29,26
2,7,31,15
2,7,33,2
2,8,14,313
2,8,16,1503
2,8,18,3108
2,8,20,5097
2,8,22,5393
2,8,24,4181
2,8,26,2223
2,8,28,768
2,8,30,178
2,8,32,36
2,8,34,9
