band,code,weight,count
0,primal,0,1
0,primal,5,3
0,primal,6,87
0,primal,7,1171
0,primal,8,12467
0,primal,9,109529
0,primal,10,846567
0,primal,11,5836462
0,primal,12,36450303
0,primal,13,207512177
0,primal,14,1081978475
0,primal,15,5193652283
0,primal,16,23047361299
0,primal,17,94900180683
0,primal,18,363783000080
0,primal,19,1301959745680
0,primal,20,4361566824192
0,primal,21,13707788155900
0,primal,22,40500270729525
0,primal,23,112696403755324
0,primal,24,295828115734172
0,primal,25,733653663258612
0,primal,26,1721264235554860
0,primal,27,3825031820477704
0,primal,28,8059888621345148
0,primal,29,16119777047929092
0,primal,30,30627576455562796
0,primal,31,55327234883505452
0,primal,32,95093684277911290
0,primal,33,155607846844568876
0,primal,34,242565174913842080
0,primal,35,360382547405552624
0,primal,36,510541938326093776
0,primal,37,689921532884826378
0,primal,38,889635667179812070
0,primal,39,1094936215286404298
0,primal,40,1286550043981360026
0,primal,41,1443446378697283518
0,primal,42,1546549702532968690
0,primal,43,1582515986869264276
0,primal,44,1546549702532968690
0,primal,45,1443446378697283518
0,primal,46,1286550043981360026
0,primal,47,1094936215286404298
0,primal,48,889635667179812070
0,primal,49,689921532884826378
0,primal,50,510541938326093776
0,primal,51,360382547405552624
0,primal,52,242565174913842080
0,primal,53,155607846844568876
0,primal,54,95093684277911290
0,primal,55,55327234883505452
0,primal,56,30627576455562796
0,primal,57,16119777047929092
0,primal,58,8059888621345148
0,primal,59,3825031820477704
0,primal,60,1721264235554860
0,primal,61,733653663258612
0,primal,62,295828115734172
0,primal,63,112696403755324
0,primal,64,40500270729525
0,primal,65,13707788155900
0,primal,66,4361566824192
0,primal,67,1301959745680
0,primal,68,363783000080
0,primal,69,94900180683
0,primal,70,23047361299
0,primal,71,5193652283
0,primal,72,1081978475
0,primal,73,207512177
0,primal,74,36450303
0,primal,75,5836462
0,primal,76,846567
0,primal,77,109529
0,primal,78,12467
0,primal,79,1171
0,primal,80,87
0,primal,81,3
0,primal,86,1
0,dual,0,1
0,dual,22,11
0,dual,24,72
0,dual,26,783
0,dual,28,3767
0,dual,30,13963
0,dual,32,43698
0,dual,34,108770
0,dual,36,234539
0,dual,38,401420
0,dual,40,588961
0,dual,42,698940
0,dual,44,707897
0,dual,46,580108
0,dual,48,408777
0,dual,50,230058
0,dual,52,110913
0,dual,54,42977
0,dual,56,14083
0,dual,58,3621
0,dual,60,804
0,dual,62,113
0,dual,64,24
0,dual,66,4
1,primal,0,1
1,primal,4,1
1,primal,5,7
1,primal,6,177
1,primal,7,2233
1,primal,8,22676
1,primal,9,196701
1,primal,10,1495556
1,primal,11,10175236
1,primal,12,62724597
1,primal,13,352292900
1,primal,14,1811724497
1,primal,15,8575577353
1,primal,16,37518973699
1,primal,17,152281574073
1,primal,18,575283917152
1,primal,19,2028636063072
1,primal,20,6694500007188
1,primal,21,20721069973797
1,primal,22,60279474891764
1,primal,23,165113348170132
1,primal,24,426542847354848
1,primal,25,1040764480091652
1,primal,26,2401764067806320
1,primal,27,5248299497165424
1,primal,28,10871477716552852
1,primal,29,21368076556665664
1,primal,30,39887076201658148
1,primal,31,70767393249156868
1,primal,32,119419975573899434
1,primal,33,191795719000881764
1,primal,34,293334630759180704
1,primal,35,427430461473709472
1,primal,36,593653414917287886
1,primal,37,786189656340013350
1,primal,38,993081678289384270
1,primal,39,1196790743703091646
1,primal,40,1376309344260261416
1,primal,41,1510583423768744214
1,primal,42,1582515981224087064
1,primal,43,1582515981224087064
1,primal,44,1510583423768744214
1,primal,45,1376309344260261416
1,primal,46,1196790743703091646
1,primal,47,993081678289384270
1,primal,48,786189656340013350
1,primal,49,593653414917287886
1,primal,50,427430461473709472
1,primal,51,293334630759180704
1,primal,52,191795719000881764
1,primal,53,119419975573899434
1,primal,54,70767393249156868
1,primal,55,39887076201658148
1,primal,56,21368076556665664
1,primal,57,10871477716552852
1,primal,58,5248299497165424
1,primal,59,2401764067806320
1,primal,60,1040764480091652
1,primal,61,426542847354848
1,primal,62,165113348170132
1,primal,63,60279474891764
1,primal,64,20721069973797
1,primal,65,6694500007188
1,primal,66,2028636063072
1,primal,67,575283917152
1,primal,68,152281574073
1,primal,69,37518973699
1,primal,70,8575577353
1,primal,71,1811724497
1,primal,72,352292900
1,primal,73,62724597
1,primal,74,10175236
1,primal,75,1495556
1,primal,76,196701
1,primal,77,22676
1,primal,78,2233
1,primal,79,177
1,primal,80,7
1,primal,81,1
1,primal,85,1
1,dual,0,1
1,dual,22,9
1,dual,24,48
1,dual,26,551
1,dual,28,2548
1,dual,30,9146
1,dual,32,27456
1,dual,34,65650
1,dual,36,136194
1,dual,38,224263
1,dual,40,314879
1,dual,42,357946
1,dual,44,345408
1,dual,46,269727
1,dual,48,181189
1,dual,50,95978
1,dual,52,43770
1,dual,54,15896
1,dual,56,5025
1,dual,58,1187
1,dual,60,240
1,dual,62,31
1,dual,64,10
2,primal,0,1
2,primal,5,8
2,primal,6,161
2,primal,7,2314
2,primal,8,22809
2,primal,9,196590
2,primal,10,1493747
2,primal,11,10175771
2,primal,12,62739214
2,primal,13,352265393
2,primal,14,1811665258
2,primal,15,8575742377
2,primal,16,37519146540
2,primal,17,152281247312
