input_weight,state_weight,count
1,27,9
1,29,9
1,31,11
1,33,14
1,35,16
1,37,4
1,39,1
2,22,10
2,24,46
2,26,126
2,28,226
2,30,375
2,32,461
2,34,334
2,36,218
2,38,143
2,40,61
2,42,12
2,44,4
3,19,1
3,21,169
3,23,717
3,25,1861
3,27,3707
3,29,6368
3,31,7848
3,33,8248
3,35,6148
3,37,3954
3,39,1785
3,41,620
3,43,182
3,45,43
3,47,13
4,18,150
4,20,1306
4,22,5436
4,24,17759
4,26,40995
4,28,77718
4,30,110618
4,32,127241
4,34,111117
4,36,76910
4,38,41342
4,40,17510
4,42,5607
4,44,1352
4,46,264
4,48,36
4,50,15
5,17,829
5,19,7340
5,21,34663
5,23,122706
5,25,328206
5,27,705943
5,29,1138073
5,31,1480642
5,33,1459490
5,35,1155492
5,37,695074
5,39,333057
5,41,120382
5,43,34184
5,45,7170
5,47,1128
5,49,120
5,51,13
6,16,3053
6,18,30648
6,20,160774
6,22,658598
6,24,2024012
6,26,4924789
6,28,9024626
6,30,13275213
6,32,14777289
6,34,13269782
6,36,9026756
6,38,4925876
6,40,2022127
6,42,658850
6,44,158624
6,46,29105
6,48,3815
6,50,411
6,52,20
7,15,8148
7,17,97519
7,19,587403
7,21,2788080
7,23,9798817
7,25,27220145
7,27,56568132
7,29,94273349
7,31,118760368
7,33,120631136
7,35,92808537
7,37,57460897
7,39,26811777
7,41,9959299
7,43,2748069
7,45,590934
7,47,91733
7,49,10947
7,51,852
7,53,49
7,55,1
8,14,17549
8,16,245081
8,18,1731823
8,20,9481885
8,22,38238079
8,24,121194918
8,26,286415489
8,28,541090942
8,30,771414801
8,32,886443401
8,34,771481576
8,36,541049429
8,38,286421013
8,40,121223718
8,42,38253553
8,44,9484702
8,46,1716626
8,48,236164
8,50,22919
8,52,1606
8,54,92
8,56,2
9,13,29612
9,15,501498
9,17,4126209
9,19,26210004
9,21,121738949
9,23,441516249
9,25,1188221461
9,27,2547878599
9,29,4114460428
9,31,5347790616
9,33,5264811970
9,35,4179221890
9,37,2508326436
9,39,1206897713
9,41,434632694
9,43,123722743
9,45,25832928
9,47,4148878
9,49,473806
9,51,39499
9,53,2234
9,55,92
9,57,4
10,12,40206
10,14,825257
10,16,8031495
10,18,59579729
10,20,319520809
10,22,1329692696
10,24,4084458606
10,26,9956662793
10,28,18229704011
10,30,26817300573
10,32,29861729706
10,34,26817299722
10,36,18229794817
10,38,9956476411
10,40,4084071857
10,42,1329906558
10,44,319702089
10,46,59606019
10,48,7964878
10,50,790613
10,52,53444
10,54,2452
10,56,74
10,58,1
54,6,1
54,8,74
54,10,2452
54,12,53444
54,14,790613
54,16,7964878
54,18,59606019
54,20,319702089
54,22,1329906558
54,24,4084071857
54,26,9956476411
54,28,18229794817
54,30,26817299722
54,32,29861729706
54,34,26817300573
54,36,18229704011
54,38,9956662793
54,40,4084458606
54,42,1329692696
54,44,319520809
54,46,59579729
54,48,8031495
54,50,825257
54,52,40206
55,7,4
55,9,92
55,11,2234
55,13,39499
55,15,473806
55,17,4148878
55,19,25832928
55,21,123722743
55,23,434632694
55,25,1206897713
55,27,2508326436
55,29,4179221890
55,31,5264811970
55,33,5347790616
55,35,4114460428
55,37,2547878599
55,39,1188221461
55,41,441516249
55,43,121738949
55,45,26210004
55,47,4126209
55,49,501498
55,51,29612
56,8,2
56,10,92
56,12,1606
56,14,22919
56,16,236164
56,18,1716626
56,20,9484702
56,22,38253553
56,24,121223718
56,26,286421013
56,28,541049429
56,30,771481576
56,32,886443401
56,34,771414801
56,36,541090942
56,38,286415489
56,40,121194918
56,42,38238079
56,44,9481885
56,46,1731823
56,48,245081
56,50,17549
57,9,1
57,11,49
57,13,852
57,15,10947
57,17,91733
57,19,590934
57,21,2748069
57,23,9959299
57,25,26811777
57,27,57460897
57,29,92808537
57,31,120631136
57,33,118760368
57,35,94273349
57,37,56568132
57,39,27220145
57,41,9798817
57,43,2788080
57,45,587403
57,47,97519
57,49,8148
58,12,20
58,14,411
58,16,3815
58,18,29105
58,20,158624
58,22,658850
58,24,2022127
58,26,4925876
58,28,9026756
58,30,13269782
58,32,14777289
58,34,13275213
58,36,9024626
58,38,4924789
58,40,2024012
58,42,658598
58,44,160774
58,46,30648
58,48,3053
59,13,13
59,15,120
59,17,1128
59,19,7170
59,21,34184
59,23,120382
59,25,333057
59,27,695074
59,29,1155492
59,31,1459490
59,33,1480642
59,35,1138073
59,37,705943
59,39,328206
59,41,122706
59,43,34663
59,45,7340
59,47,829
60,14,15
60,16,36
60,18,264
60,20,1352
60,22,5607
60,24,17510
60,26,41342
60,28,76910
60,30,111117
60,32,127241
60,34,110618
60,36,77718
60,38,40995
60,40,17759
60,42,5436
60,44,1306
60,46,150
61,17,13
61,19,43
61,21,182
61,23,620
61,25,1785
61,27,3954
61,29,6148
61,31,8248
61,33,7848
61,35,6368
61,37,3707
61,39,1861
61,41,717
61,43,169
61,45,1
62,20,4
62,22,12
62,24,61
62,26,143
62,28,218
62,30,334
62,32,461
62,34,375
62,36,226
62,38,126
62,40,46
62,42,10
63,25,1
63,27,4
63,29,16
63,31,14
63,33,11
63,35,9
63,37,9
64,64,1
