H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-78398.74165634377,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-78398.74165634377,-63.64394900095965,-127.78529839939787,-inf,-inf,-inf,-inf,-inf,-inf,-63.64394900095965
2,-78398.74165634377,-63.81036641600215,-126.46029449228072,-191.6780903498124,-inf,-inf,-inf,-inf,-inf,-63.81036641600215
3,-78398.74165634377,-64.1467288702488,-125.84590729718667,-189.7782504127858,-255.5710250654355,-inf,-inf,-inf,-inf,-64.1467288702488
4,-78398.74165634377,-64.57620875059733,-125.56888665253098,-188.65389955425755,-253.28914856805463,-319.46410256012325,-inf,-inf,-inf,-64.57620875059733
5,-78398.74165634377,-65.0645863368694,-125.49304971792945,-187.9301749684907,-251.8036382484813,-316.8955168040251,-383.3573228493482,-inf,-inf,-65.0645863368694
6,-78398.74165634377,-65.59360820881832,-125.55171449997843,-187.46084285793305,-250.74262966690202,-315.13721764889425,-380.55687805031914,-447.2506859491286,-inf,-65.59360820881832
7,-78398.74165634377,-66.15237886246634,-125.7069115587667,-187.16954992931923,-249.96104904840968,-313.81360673289385,-378.580697152947,-444.25380914291486,-511.14419187036054,-66.15237886246634
8,-78398.74165634377,-66.73387055583905,-125.93486435002563,-187.0104567837316,-249.38152769192592,-312.7805571599938,-377.04604144656025,-442.09539928030415,-507.975896299442,-66.73387055583905
9,-78398.74165634377,-67.33328483539748,-126.21966292685941,-186.95361992694683,-248.95620700041277,-311.9618532252259,-375.80723095423525,-440.38545692389675,-505.6596390116629,-67.33328483539748
10,-78398.74165634377,-67.947199174092,-126.55012369014266,-186.97831510599227,-248.65285884154133,-311.3100710991686,-374.7885832273722,-438.97501801125196,-503.7994767412129,-67.947199174092
11,-78398.74165634377,-68.57308652567315,-126.91807939608614,-187.0695723127164,-248.44855224326034,-310.79278592505943,-373.9435655451403,-437.78760686847755,-502.2426680631482,-68.57308652567315
12,-78398.74165634377,-69.20902782859913,-127.31738064973743,-187.21621277733908,-248.32631988544426,-310.3864846420392,-373.24039986541794,-436.7770361487517,-500.91092554178067,-69.20902782859913
13,-78398.74165634377,-69.8535313671022,-127.74328005373428,-187.4096626921014,-248.27322801337147,-310.07342888868453,-372.6558711373108,-435.9121898871563,-499.75758834159956,-69.8535313671022
14,-78398.74165634377,-70.50541461609966,-128.19203518372444,-187.64319954387352,-248.2791812181626,-309.83984933289,-372.1722508646967,-435.17045254487454,-498.7517716082479,-70.50541461609966
15,-78398.74165634377,-71.16372428105089,-128.66064307196476,-187.91145363084385,-248.33614439422033,-309.67482100901753,-371.77558221490193,-434.5345086489507,-497.8713504549902,-71.16372428105089
16,-78398.74165634377,-71.82768062668282,-129.1466570993157,-188.21006725791233,-248.4376162727194,-309.56952177993566,-371.4546329365774,-433.990621189148,-497.0995128655721,-71.82768062668282
17,-78398.74165634377,-72.49663775245766,-129.64805735671655,-188.5354551393411,-248.57826189994418,-309.51672234754295,-371.2002098951878,-433.5276196242509,-496.4229302340363,-72.49663775245766
18,-78398.74165634377,-73.17005460974343,-130.16315672862936,-188.8846318557191,-248.75364932719867,-309.5104239625112,-371.0046863719835,-433.1362570951653,-495.83071578734854,-73.17005460974343
19,-78398.74165634377,-73.84747346518361,-130.6905315008206,-189.25508500686752,-248.96005678800637,-309.5455943743143,-370.86166325987796,-432.8087752283128,-495.3137891214193,-73.84747346518361
20,-78398.74165634377,-74.52850363034212,-131.2289691844616,-189.64468024986087,-249.19432879450287,-309.61797128664995,-370.76571905438124,-432.53859440528316,-494.86446189643993,-74.52850363034212
21,-78398.74165634377,-75.21280897906836,-131.77742866302046,-190.05158904761169,-249.45376693907002,-309.7239134309292,-370.71222115058526,-432.32008484446857,-494.4761511836576,-75.21280897906836
22,-78398.74165634377,-75.90009822674546,-132.33500930916844,-190.47423288666212,-249.7360457896663,-309.86028596348535,-370.69718080188704,-432.1483925524138,-494.1431710900678,-75.90009822674546
23,-78398.74165634377,-76.59011729861476,-132.90092678068052,-190.91123968144484,-250.03914728638563,-310.0243711122137,-370.7171399918957,-432.0193041729183,-493.8605753578432,-76.59011729861476
24,-78398.74165634377,-77.2826432577028,-133.47449381976034,-191.361409289159,-250.36130894662622,-310.21379765740727,-370.76908205689597,-431.92914028257985,-493.62403494900605,-77.2826432577028
25,-78398.74165634377,-77.97747939716004,-134.0551048352951,-191.8236859133276,-250.70098250408782,-310.42648464757394,-370.85036026077984,-431.87467000187615,-493.4297407332295,-77.97747939716004
26,-78398.74165634377,-78.67445130190605,-134.6422234697717,-192.29713587014533,-251.05680062017228,-310.6605961011943,-370.9586402194153,-431.8530419823262,-493.27432493613173,-78.67445130190605
