H,total_log2
0,-63.8926492
1,-64.49522904194977
2,-65.51292750569323
3,-66.70057202038272
4,-67.98133497157211
5,-69.32099663639573
6,-70.70130359998134
7,-72.11136035028912
8,-73.5441391520647
9,-74.99484155042308
10,-76.46004501965928
11,-77.93722250680591
12,-79.42445495838301
13,-80.92025065727849
14,-82.42342707303503
15,-83.93303091648868
16,-85.4482824496761
17,-86.96853577340504
18,-88.49324984038603
19,-90.02196691323388
20,-91.55429630753929
21,-93.08990189312499
22,-94.62849238402872
23,-96.16981371892807
24,-97.71364294069562
25,-99.25978336129005
26,-100.80806055354213
27,-102.35831913403126
28,-103.91042008459833
29,-105.46423852400912
30,-107.0196618654285
31,-108.57658824597326
32,-110.13492520434752
33,-111.69458857040168
34,-113.25550148831518
35,-114.81759360055418
36,-116.38080033447254
37,-117.94506228661041
38,-119.51032468092988
39,-121.07653689724805
40,-122.64365207783136
41,-124.2116267431384
42,-125.78042048381475
43,-127.34999568852813
44,-128.92031726610185
45,-130.49135244689737
46,-132.06307058399088
47,-133.6354429513336
48,-135.208442603986
49,-136.78204424494265
50,-138.35622405626594
51,-139.93095962379442
52,-141.50622980973586
53,-143.0820146602067
54,-144.6582953286703
55,-146.23505397064292
56,-147.81227370842646
57,-149.3899385291897
58,-150.9680332464922
59,-152.546543443837
60,-154.1254554161656
61,-155.70475612578437
62,-157.28443316285393
63,-158.86447470365383
64,-160.44486947102828
65,-162.02560671247628
66,-163.60667614716434
67,-165.1880679731812
68,-166.76977278742046
69,-168.35178162271276
70,-169.93408586904533
71,-171.51667729729363
72,-173.09954800638928
73,-174.68269041862064
74,-176.26609727054557
75,-177.8497615766728
76,-179.43367663454467
77,-181.01783598408383
78,-182.6022334411121
79,-184.1868630293543
80,-185.7717189981858
81,-187.35679582582102
82,-188.94208817231106
83,-190.52759089979972
84,-192.1132990492639
85,-193.6992078376078
86,-195.28531264226413
87,-196.87160900777118
88,-198.45809262271342
89,-200.04475932303566
90,-201.63160508367477
91,-203.2186260088853
92,-204.80581832887825
93,-206.39317839714687
94,-207.98070268538544
95,-209.56838777036947
96,-211.1562303340008
97,-212.74422717086992
98,-214.33237516008953
99,-215.92067128447601
100,-217.5091126135534
101,-219.09769630121838
102,-220.68641958713846
103,-222.275279790942
104,-223.86427431246318
105,-225.45340061639018
106,-227.04265624145432
107,-228.63203880715903
108,-230.2215459829792
109,-231.8111755112581
110,-233.40092519500266
111,-234.9907928827101
112,-236.5807765011801
113,-238.17087402334522
114,-239.7610834758116
115,-241.35140292959795
116,-242.94183051429576
117,-244.532364401811
118,-246.12300281604814
119,-247.71374401471996
120,-249.30458631307937
121,-250.8955280527488
122,-252.48656763116225
123,-254.07770347330532
124,-255.66893405049018
125,-257.26025786282753
126,-258.85167344981056
127,-260.4431793833061
128,-262.034774272434
129,-263.6264567561368
130,-265.2182255021808
131,-266.8100792125639
132,-268.40201662453717
133,-269.9940364830031
134,-271.58613758102575
135,-273.17831873134025
136,-274.7705787736501
137,-276.3629165719871
138,-277.9553310128586
139,-279.5478210122105
140,-281.1403855016257
141,-282.7330234501628
142,-284.3257338250585
143,-285.9185156310218
144,-287.5113678964149
145,-289.10428966003735
146,-290.6972799826894
147,-292.29033795124445
148,-293.8834626563901
149,-295.4766532219651
150,-297.0699087837467
151,-298.6632284956091
152,-300.25661152002976
153,-301.85005704594283
154,-303.44356427478357
155,-305.03713242041005
156,-306.6307607201883
157,-308.22444841692476
158,-309.8181947680646
159,-311.4119990472086
160,-313.0058605486877
161,-314.5997785709912
162,-316.19375242473217
163,-317.7877814436319
164,-319.3818649555222
165,-320.9760023181527
166,-322.5701928961889
167,-324.16443605462723
168,-325.7587311901197
169,-327.35307768464355
170,-328.94747495618986
171,-330.54192241834033
172,-332.1364194938466
173,-333.73096562039655
174,-335.3255602539323
175,-336.92020283726544
176,-338.514892838791
177,-340.10962973767454
178,-341.704413014627
179,-343.2992421590107
180,-344.8941166734615
181,-346.489036065269
182,-348.08399984601107
183,-349.6790075474977
184,-351.2740587002751
185,-352.8691528364868
186,-354.46428951440816
187,-356.05946827864875
188,-357.65468869576335
189,-359.24995032821107
190,-360.8452527568416
191,-362.440595563217
192,-364.03597833089555
193,-365.63140065222615
194,-367.2268621352846
195,-368.8223623840707
196,-370.41790101108035
197,-372.01347763119963
198,-373.6090918772188
199,-375.2047433697824
