bucket,H,T_count,max_log2_minus_left,T_at_max,left_log2,max_log2,left_reproduction_delta
gap_1_4000,0,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,0,4000,-7.1054273576e-15,9949,-63.8926492,-63.8926492,-7.1054273576e-15
gap_8001_12000,0,4000,-7.1054273576e-15,13949,-63.8926492,-63.8926492,-7.1054273576e-15
gap_1_4000,1,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,1,4000,-5.67183633393e-10,9949,-63.643949001,-63.6439490015,-5.67183633393e-10
gap_8001_12000,1,4000,6.00223870606e-10,13949,-64.1314872725,-64.1314872719,6.00223870606e-10
gap_1_4000,2,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,2,4000,-7.58404894441e-10,9949,-63.810366416,-63.8103664168,-7.58404894441e-10
gap_8001_12000,2,4000,-5.30789634468e-10,13949,-64.7854436066,-64.7854436072,-5.30789634468e-10
gap_1_4000,3,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,3,4000,-8.52196535561e-10,9949,-64.1467288702,-64.1467288711,-8.52196535561e-10
gap_8001_12000,3,4000,3.58070906259e-10,13949,-65.6093456317,-65.6093456313,3.58070906259e-10
gap_1_4000,4,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,4,4000,-1.56894941483e-09,9949,-64.5762087506,-64.5762087522,-1.56894941483e-09
gap_8001_12000,4,4000,1.1978471548e-09,13949,-66.5263657331,-66.5263657319,1.1978471548e-09
gap_1_4000,5,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,5,4000,-2.10859241179e-09,9949,-65.0645863369,-65.064586339,-2.10859241179e-09
gap_8001_12000,5,4000,1.04435571302e-10,13949,-67.5022841881,-67.502284188,1.04435571302e-10
gap_1_4000,6,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,6,4000,-9.24899268284e-10,9949,-65.5936082088,-65.5936082097,-9.24899268284e-10
gap_8001_12000,6,4000,-1.37615074891e-09,13949,-68.5188475764,-68.5188475778,-1.37615074891e-09
gap_1_4000,7,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,7,4000,-1.80317272225e-09,9949,-66.1523788625,-66.1523788643,-1.80317272225e-09
gap_8001_12000,7,4000,-1.6677148551e-09,13949,-69.5651603994,-69.565160401,-1.6677148551e-09
gap_1_4000,8,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,8,4000,-2.12421014112e-09,9949,-66.7338705558,-66.733870558,-2.12421014112e-09
gap_8001_12000,8,4000,-2.17679030357e-09,13949,-70.6341949111,-70.6341949132,-2.17679030357e-09
gap_1_4000,9,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,9,4000,8.18545231596e-11,9949,-67.3332848354,-67.3332848353,8.18545231596e-11
gap_8001_12000,9,4000,4.26666701969e-10,13949,-71.7211526592,-71.7211526588,4.26666701969e-10
gap_1_4000,10,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,10,4000,-9.29460952648e-10,9949,-67.9471991741,-67.947199175,-9.29460952648e-10
gap_8001_12000,10,4000,1.70042824266e-09,13949,-72.8226111182,-72.8226111165,1.70042824266e-09
gap_1_4000,11,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,11,4000,-1.04864739114e-09,9949,-68.5730865257,-68.5730865267,-1.04864739114e-09
gap_8001_12000,11,4000,1.75447212314e-09,13949,-73.9360432377,-73.9360432359,1.75447212314e-09
gap_1_4000,12,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,12,4000,1.45050194078e-10,9949,-69.2090278286,-69.2090278285,1.45050194078e-10
gap_8001_12000,12,4000,-1.69559655205e-09,13949,-75.0595299534,-75.0595299551,-1.69559655205e-09
gap_1_4000,13,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,13,4000,-9.51999368226e-10,9949,-69.8535313671,-69.8535313681,-9.51999368226e-10
gap_8001_12000,13,4000,-1.61534785548e-10,13949,-76.1915795617,-76.1915795619,-1.61534785548e-10
gap_1_4000,14,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,14,4000,-1.32267530262e-09,9949,-70.5054146161,-70.5054146174,-1.32267530262e-09
gap_8001_12000,14,4000,-1.374772296e-09,13949,-77.3310095269,-77.3310095282,-1.374772296e-09
gap_1_4000,15,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,15,4000,-2.9339730645e-10,9949,-71.1637242811,-71.1637242813,-2.9339730645e-10
gap_8001_12000,15,4000,-1.96493488147e-09,13949,-78.4768665569,-78.4768665589,-1.96493488147e-09
gap_1_4000,16,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,16,4000,-9.36040578381e-10,9949,-71.8276806267,-71.8276806276,-9.36040578381e-10
gap_8001_12000,16,4000,3.51576545654e-10,13949,-79.628370922,-79.6283709216,3.51576545654e-10
gap_1_4000,17,4000,-3.5527136788e-15,5949,-20.0117348926,-20.0117348926,-3.5527136788e-15
gap_4001_8000,17,4000,-1.09214681743e-09,9949,-72.4966377525,-72.4966377535,-1.09214681743e-09
gap_8001_12000,17,4000,-4.34137348293e-09,13949,-80.7848767094,-80.7848767138,-4.34137348293e-09
gap_1_4000,18,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,18,4000,-1.59730006999e-11,9949,-73.1700546097,-73.1700546098,-1.59730006999e-11
gap_8001_12000,18,4000,-5.29723820364e-10,13949,-81.9458428854,-81.945842886,-5.29723820364e-10
gap_1_4000,19,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,19,4000,-8.45830072649e-11,9949,-73.8474734652,-73.8474734653,-8.45830072649e-11
gap_8001_12000,19,4000,-2.71137423624e-09,13949,-83.1108117045,-83.1108117072,-2.71137423624e-09
gap_1_4000,20,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,20,4000,-1.71122849224e-09,9949,-74.5285036303,-74.5285036321,-1.71122849224e-09
gap_8001_12000,20,4000,-1.8491306264e-09,13949,-84.2793924877,-84.2793924895,-1.8491306264e-09
gap_1_4000,21,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,21,4000,-3.0014746244e-10,9949,-75.2128089791,-75.2128089794,-3.0014746244e-10
gap_8001_12000,21,4000,-2.78681966392e-09,13949,-85.4512490993,-85.4512491021,-2.78681966392e-09
gap_1_4000,22,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,22,4000,8.32983459986e-10,9949,-75.9000982267,-75.9000982259,8.32983459986e-10
gap_8001_12000,22,4000,-2.12162376556e-09,13949,-86.6260902616,-86.6260902637,-2.12162376556e-09
gap_1_4000,23,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,23,4000,-7.03721525497e-10,9949,-76.5901172986,-76.5901172993,-7.03721525497e-10
gap_8001_12000,23,4000,-2.21814389079e-09,13949,-87.8036618996,-87.8036619019,-2.21814389079e-09
gap_1_4000,24,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,24,4000,9.71652980297e-10,9949,-77.2826432577,-77.2826432567,9.71652980297e-10
gap_8001_12000,24,4000,-3.95900201511e-09,13949,-88.9837410699,-88.9837410739,-3.95900201511e-09
gap_1_4000,25,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,25,4000,-1.03665342976e-09,9949,-77.9774793972,-77.9774793982,-1.03665342976e-09
gap_8001_12000,25,4000,-7.68068275647e-10,13949,-90.1661310789,-90.1661310796,-7.68068275647e-10
gap_1_4000,26,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,26,4000,-1.11329256924e-09,9949,-78.6744513019,-78.674451303,-1.11329256924e-09
gap_8001_12000,26,4000,-1.83946724519e-09,13949,-91.3506574967,-91.3506574986,-1.83946724519e-09
gap_1_4000,27,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,27,4000,-1.19177911984e-09,9949,-79.3734035858,-79.373403587,-1.19177911984e-09
gap_8001_12000,27,4000,-1.00361319255e-09,13949,-92.5371649455,-92.5371649465,-1.00361319255e-09
gap_1_4000,28,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,28,4000,-1.25186261357e-09,9949,-80.0741972281,-80.0741972294,-1.25186261357e-09
gap_8001_12000,28,4000,-3.68407881979e-09,13949,-93.7255143988,-93.7255144025,-3.68407881979e-09
gap_1_4000,29,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,29,4000,-1.18978960018e-09,9949,-80.7767073515,-80.7767073527,-1.18978960018e-09
gap_8001_12000,29,4000,-3.00171620893e-09,13949,-94.9155809862,-94.9155809892,-3.00171620893e-09
gap_1_4000,30,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,30,4000,-6.55560938867e-10,9949,-81.4808213665,-81.4808213672,-6.55560938867e-10
gap_8001_12000,30,4000,-4.01318800414e-09,13949,-96.1072521129,-96.1072521169,-4.01318800414e-09
gap_1_4000,31,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,31,4000,-6.91628088134e-10,9949,-82.1864374089,-82.1864374096,-6.91628088134e-10
gap_8001_12000,31,4000,-1.00072838904e-09,13949,-97.3004259213,-97.3004259223,-1.00072838904e-09
gap_1_4000,32,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,32,4000,-1.23671384245e-09,9949,-82.8934630214,-82.8934630226,-1.23671384245e-09
gap_8001_12000,32,4000,-3.37750805102e-09,13949,-98.4950099448,-98.4950099481,-3.37750805102e-09
gap_1_4000,33,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,33,4000,-1.35052857786e-09,9949,-83.6018140299,-83.6018140312,-1.35052857786e-09
gap_8001_12000,33,4000,-3.45576722793e-09,13949,-99.6909200158,-99.6909200193,-3.45576722793e-09
gap_1_4000,34,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,34,4000,-7.75031594458e-10,9949,-84.3114135811,-84.3114135819,-7.75031594458e-10
gap_8001_12000,34,4000,-3.64971697309e-09,13949,-100.888079279,-100.888079282,-3.64971697309e-09
gap_1_4000,35,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,35,4000,-5.26227950104e-11,9949,-85.0221913176,-85.0221913177,-5.26227950104e-11
