outer_weight,first_r,remaining_ones,gap_min,gap_max,bucket_T,inner_mode,outer_log2_bound,outer_z,placement_log2,inner_log2,best_lambda,best_alpha,best_rho,term_log2
32,1,31,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-16.445093443249107,-108.57658824597326,nan,nan,nan,-87.36339217954111
32,1,31,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-7.347214036443461,-119.5670779258274,nan,nan,nan,-89.25600245258961
32,1,31,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-0.009601574924431588,-128.3824862841579,nan,nan,nan,-90.73379834940107
32,2,30,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-26.95405032461042,-107.0196618654285,nan,nan,nan,-96.31542268035767
32,2,30,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-18.1409667464643,-117.6556155234023,nan,nan,nan,-98.13829276018535
32,2,30,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-11.0338202163922,-126.18665322888788,nan,nan,nan,-99.56218393559882
32,3,29,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-38.11690107304264,-105.46423852400912,nan,nan,nan,-105.9228500873705
32,3,29,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-29.58869544692027,-115.74565642076375,nan,nan,nan,-107.67606235800277
32,3,29,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-22.71215726247715,-123.99232365613577,nan,nan,nan,-109.04619140893166
32,4,28,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-49.765610085424214,-103.91042008459833,nan,nan,nan,-116.01774066034129
32,4,28,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-41.522379985310636,-113.83730249960551,nan,nan,nan,-117.7013929752349
32,4,28,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-34.876612082228235,-121.79959943147234,nan,nan,nan,-119.01792200401933
32,5,27,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-61.8090749793671,-102.35831913403126,nan,nan,nan,-126.5091046037171
32,5,27,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-53.85093613074946,-111.93066633870114,nan,nan,nan,-128.12331295976935
32,5,27,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-47.436122313286944,-119.6085931551687,nan,nan,nan,-129.3864259587744
32,6,26,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-74.19053901507209,-100.80806055354213,nan,nan,nan,-137.34031005893297
32,6,26,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-66.5176284083708,-110.02587281928477,nan,nan,nan,-138.8852117179743
32,6,26,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-60.33397690606745,-117.41942969233578,nan,nan,nan,-140.09511708872196
32,7,25,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-86.87164123978704,-99.25978336129005,nan,nan,nan,-148.47313509139582
32,7,25,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-79.48412070443959,-108.12306096757733,nan,nan,nan,-149.94889216233565
32,7,25,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-73.53186694085701,-115.23224807456883,nan,nan,nan,-151.10582550574458
32,8,24,12001,17000,17949,csv,37.65828950968125,9.999999999999982e-09,-99.82507583467697,-97.71364294069562,nan,nan,nan,-159.88042926569133
32,8,24,17001,22000,22949,csv,37.65828950968125,9.999999999999982e-09,-92.72313611945958,-106.22238616162494,nan,nan,nan,-161.28723277140327
32,8,24,22001,26819,27949,csv,37.65828950968125,9.999999999999982e-09,-87.00254569190247,-113.04720367991408,nan,nan,nan,-162.3914598621353
