outer_weight,first_r,remaining_ones,gap_min,gap_max,bucket_T,inner_mode,outer_log2_bound,outer_z,placement_log2,inner_log2,best_lambda,best_alpha,best_rho,term_log2
32,1,31,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-55.03232145853627,-20.011734892645514,nan,nan,nan,-37.38576684150053
32,1,31,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-39.43014815611889,-82.1864374469386,nan,nan,nan,-83.95829609337623
32,1,31,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-27.79029276387746,-97.30042595934366,nan,nan,nan,-87.43242921353986
32,2,30,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-64.33523575846232,-20.01173489264557,nan,nan,nan,-46.688681141426635
32,2,30,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-49.2206529492953,-81.48082140454552,nan,nan,nan,-93.04318484415957
32,2,30,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-37.94467984163589,-96.10725215093818,nan,nan,nan,-96.39364248289282
32,3,29,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-74.29200217389615,-20.011734892645627,nan,nan,nan,-56.645447556860525
32,3,29,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-59.66501385182028,-80.77670738953765,nan,nan,nan,-102.78343173167667
32,3,29,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-48.752955179642015,-94.91558102425807,nan,nan,nan,-106.01024669421884
32,4,28,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-84.73457312242613,-20.011734892645688,nan,nan,nan,-67.08801850539056
32,4,28,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-70.59518513313117,-80.07419726613853,nan,nan,nan,-113.01109288958844
32,4,28,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-60.04708184102333,-93.72551443680891,nan,nan,nan,-116.11430676815098
32,5,27,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-95.57183090459131,-20.011734892645748,nan,nan,nan,-77.9252762875558
32,5,27,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-81.92005168518267,-79.37340362387266,nan,nan,nan,-123.63516579937408
32,5,27,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-71.73595582327522,-92.53716498348962,nan,nan,nan,-126.61483129708358
32,6,26,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-106.74699919696633,-20.011734892645812,nan,nan,nan,-89.1004445799309
32,6,26,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-93.58284080763508,-78.67445133994413,nan,nan,nan,-134.59900263789797
32,6,26,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-83.7628184231881,-91.35065753478641,nan,nan,nan,-137.45518644829326
32,7,25,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-118.22169201615469,-20.011734892645872,nan,nan,nan,-100.57513739911931
32,7,25,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-105.5451715665306,-77.97747943519806,nan,nan,nan,-145.8643614920474
32,7,25,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-96.08930631072968,-90.1661311169185,nan,nan,nan,-148.59714791796694
32,8,24,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-129.96857155195318,-20.011734892645936,nan,nan,nan,-112.32201693491785
32,8,24,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-117.77971320306057,-77.28264329574083,nan,nan,nan,-157.40406698912014
32,8,24,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-108.68811081164182,-88.98374110793068,nan,nan,nan,-160.01356240989125
32,9,23,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-141.96749799534183,-20.011734892646,nan,nan,nan,-124.32094337830658
32,9,23,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-130.26633571322395,-76.59011733665278,nan,nan,nan,-169.19816354019548
32,9,23,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-121.53912955317332,-87.80366193768322,nan,nan,nan,-171.6845019811753
32,10,22,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-154.203320396405,-20.011734892646064,nan,nan,nan,-136.5567657793698
32,10,22,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-142.98990181121553,-75.90009826478348,nan,nan,nan,-181.23171056631776
32,10,22,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-134.62725971387204,-86.62609029958952,nan,nan,nan,-183.5950605037803
32,11,21,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-166.66452418936746,-20.011734892646132,nan,nan,nan,-149.01796957233233
32,11,21,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-155.93891589461776,-75.21280901710644,nan,nan,nan,-193.49343540204296
32,11,21,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-147.94104853077175,-85.45124913734104,nan,nan,nan,-195.73400815843155
32,12,20,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-179.3423632748519,-20.011734892646196,nan,nan,nan,-161.69580865781683
32,12,20,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-169.10465816706005,-74.5285036683802,nan,nan,nan,-205.974872325759
32,12,20,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-161.47182925105824,-84.27939252569631,nan,nan,nan,-208.0929322670733
32,13,19,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-192.2302847327785,-20.011734892646267,nan,nan,nan,-174.58373011574352
32,13,19,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-182.48061210865166,-73.84747350322169,nan,nan,nan,-218.6697961021921
32,13,19,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-175.21315074758655,-83.11081174255429,nan,nan,nan,-220.6656729804596
32,14,18,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-205.32354067446852,-20.011734892646334,nan,nan,nan,-187.6769860574336
32,14,18,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-196.0620800494458,-73.17005464778148,nan,nan,nan,-231.57384518754603
32,14,18,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-189.16039557061924,-81.94584292347076,nan,nan,nan,-233.44794898440875
32,15,17,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-218.61892654877738,-20.011734892646402,nan,nan,nan,-200.97237193174254
32,15,17,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-209.8459265522922,-72.49663779049571,nan,nan,nan,-244.68427483310666
32,15,17,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-203.3105261486504,-80.78487674747676,nan,nan,nan,-246.4371133864459
32,16,16,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-232.1146101803584,-20.011734892646473,nan,nan,nan,-214.46805556332362
32,16,16,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-223.8304141573778,-71.82768066472087,nan,nan,nan,-257.9998053124174
32,16,16,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-217.66192366429703,-79.62837096002104,nan,nan,nan,-259.63200511463685
32,17,15,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-245.81003069605117,-20.011734892646547,nan,nan,nan,-228.16347607901648
32,17,15,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-238.01511124423666,-71.16372431908894,nan,nan,nan,-271.52054605364435
32,17,15,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-232.21429930845034,-78.476866594956,nan,nan,nan,-273.0328763937251
32,18,14,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-259.7058563016066,-20.01173489264662,nan,nan,nan,-242.05930168457198
32,18,14,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-252.40086143717048,-70.50541465413771,nan,nan,nan,-285.24798658162695
32,18,14,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-246.96866722530012,-77.33100956491187,nan,nan,nan,-286.64138728053075
32,19,13,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-273.803997274586,-20.011734892646693,nan,nan,nan,-256.1574426575514
32,19,13,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-266.9898115390762,-69.85353140514026,nan,nan,nan,-299.1850534345352
32,19,13,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-261.92737596446966,-76.19157959978732,nan,nan,nan,-300.4606660545757
32,20,12,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-288.1076773068559,-20.011734892646768,nan,nan,nan,-270.4611226898214
32,20,12,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-281.7855016613103,-69.20902786663719,nan,nan,nan,-313.33624001826627
32,20,12,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-277.0942018525234,-75.05952999143572,nan,nan,nan,-314.49544233427787
32,21,11,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-302.6215739585708,-20.011734892646842,nan,nan,nan,-284.9750193415364
32,21,11,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-296.79302860701284,-68.57308656371117,nan,nan,nan,-327.70782566104276
32,21,11,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-292.47451499778475,-73.93604327568858,nan,nan,nan,-328.7522687637921
32,22,10,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-317.3520493494849,-20.01173489264692,nan,nan,nan,-299.7054947324506
32,22,10,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-312.0193035990668,-67.94719921213006,nan,nan,nan,-342.3082133015156
32,22,10,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-308.0755385837479,-72.82261115622133,nan,nan,nan,-343.239860230288
32,23,9,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-332.3075080727887,-20.011734892647,nan,nan,nan,-314.66095345575445
32,23,9,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-327.4734402733378,-67.33328487343553,nan,nan,nan,-357.1484356370921
32,23,9,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-323.9067368477419,-71.72115269726282,nan,nan,nan,-357.9696000353235
32,24,8,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-347.49894561474264,-20.011734892647077,nan,nan,nan,-329.8523909977085
32,24,8,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-343.1673340282925,-66.7338705938771,nan,nan,nan,-372.24291511248833
32,24,8,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-339.98039226557825,-70.63419494909343,nan,nan,nan,-372.95629770499045
32,25,7,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-362.9407973608575,-20.011734892647155,nan,nan,nan,-345.2942427438234
32,25,7,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-359.11653851564114,-66.15237890050439,nan,nan,nan,-387.6106279064643
32,25,7,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-356.3124771571795,-69.56516043741915,nan,nan,nan,-388.2193480849174
32,26,6,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-378.65228707660276,-20.011734892647237,nan,nan,nan,-361.0057324595687
32,26,6,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-375.34163152068083,-65.59360824685638,nan,nan,nan,-403.27695025785596
32,26,6,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-372.9240114919009,-68.51884761443537,nan,nan,nan,-403.78456959665505
32,27,5,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-394.65965614397226,-20.01173489264732,nan,nan,nan,-377.0131015269383
32,27,5,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-391.87044229595574,-65.06458637490744,nan,nan,nan,-419.2767391611819
32,27,5,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-389.84327869126366,-67.50228422614727,nan,nan,nan,-419.68727340772966
32,28,4,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-411.00006850019247,-20.011734892647404,nan,nan,nan,-393.3535138831586
32,28,4,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-408.7419244376454,-64.57620878863538,nan,nan,nan,-435.65984371659954
32,28,4,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-407.10968358781014,-66.52636577115824,nan,nan,nan,-435.9777598492871
32,29,3,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-427.7290515295178,-20.01173489264749,nan,nan,nan,-410.08249691248403
32,29,3,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-426.0135244853977,-64.14672890828685,nan,nan,nan,-452.50196388400326
32,29,3,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-424.78110323713685,-65.60934566971488,nan,nan,nan,-452.73215939717045
32,30,2,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-444.9365937541055,-20.011734892647574,nan,nan,nan,-427.2900391370718
32,30,2,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-443.7771617803219,-63.8103664540402,nan,nan,nan,-469.92923872468083
32,30,2,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-442.94984713606493,-64.78544364468283,nan,nan,nan,-470.0770012710665
32,31,1,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-462.7899214168925,-20.01173489264766,nan,nan,nan,-445.14336679985894
32,31,1,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-462.20184643472624,-63.643949038997704,nan,nan,nan,-488.18750596404266
32,31,1,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-461.78525520918697,-64.13148731050794,nan,nan,nan,-488.2584530100137
32,32,0,1,4000,5949,csv,37.65828950968125,9.999999999999982e-09,-481.70199421029724,-20.01173489264775,nan,nan,nan,-464.0554395932637
32,32,0,4001,8000,9949,csv,37.65828950968125,9.999999999999982e-09,-481.70199421029724,-63.89264923803805,nan,nan,nan,-507.93635393865407
32,32,0,8001,12000,13949,csv,37.65828950968125,9.999999999999982e-09,-481.70199421029724,-63.89264923803805,nan,nan,nan,-507.93635393865407
33,1,32,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-56.752107514171485,-20.011734892645457,nan,nan,nan,-37.61565786423492
33,1,32,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-40.66234638473611,-82.89346305944738,nan,nan,nan,-84.40762490160148
33,1,32,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-28.658633907440844,-98.49500998279993,nan,nan,nan,-88.00545934765876
33,2,31,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-66.01062539870895,-20.011734892645514,nan,nan,nan,-46.874175748772444
33,2,31,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-50.40845209629151,-82.1864374469386,nan,nan,nan,-93.44670500064808
33,2,31,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-38.768596704050196,-97.30042595934366,nan,nan,nan,-96.92083812081182
33,3,30,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-75.92158581246917,-20.01173489264557,nan,nan,nan,-56.78513616253272
33,3,30,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-60.80700300330216,-81.48082140454552,nan,nan,nan,-103.13963986526565
33,3,30,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-49.53102989564286,-96.10725215093818,nan,nan,nan,-106.49009750399901
33,4,29,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-86.31684870000595,-20.011734892645627,nan,nan,nan,-67.18039905006955
33,4,29,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-71.68986037793002,-80.77670738953765,nan,nan,nan,-113.31838322488565
33,4,29,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-60.77780170575181,-94.91558102425807,nan,nan,nan,-116.54519818742787
33,5,28,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-97.10519448537747,-20.011734892645688,nan,nan,nan,-77.96874483544113
33,5,28,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-82.96580649608251,-80.07419726613853,nan,nan,nan,-123.89181921963902
33,5,28,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-72.41770320397467,-93.72551443680891,nan,nan,nan,-126.99503309820156
33,6,27,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-108.2297342196232,-20.011734892645748,nan,nan,nan,-89.09328456968693
33,6,27,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-94.57795500021456,-79.37340362387266,nan,nan,nan,-134.8031740815052
33,6,27,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-84.3938591383071,-92.53716498348962,nan,nan,nan,-137.7828395792147
33,7,26,1,4000,5949,csv,39.14818454258202,0.36411044103455886,-119.65195698756901,-20.011734892645812,nan,nan,nan,-100.51550733763281
33,7,26,4001,8000,9949,csv,39.14818454258202,0.36411044103455886,-106.48779859823776,-78.67445133994413,nan,nan,nan,-146.01406539559986
33,7,26,8001,12000,13949,csv,39.14818454258202,0.36411044103455886,-96.66777621379077,-91.35065753478641,nan,nan,nan,-148.87024920599515
