outer_weight,first_r,remaining_ones,gap_min,gap_max,outer_log2,placement_log2,tail_log2,term_log2
32,1,31,12001,17000,37.629712,-16.445093443249107,-1057.0995165286552,-1035.9148979719043
32,1,31,17001,22000,37.629712,-7.347214036443461,-1057.0995165286552,-1026.8170185650986
32,1,31,22001,26819,37.629712,-0.009601574924431588,-1057.0995165286552,-1019.4794061035795
32,2,30,12001,17000,37.629712,-26.95405032461042,-1058.1926259330467,-1047.516964257657
32,2,30,17001,22000,37.629712,-18.1409667464643,-1058.1926259330467,-1038.703880679511
32,2,30,22001,26819,37.629712,-11.0338202163922,-1058.1926259330467,-1031.5967341494388
32,3,29,12001,17000,37.629712,-38.11690107304264,-1059.3394673213759,-1059.8266563944185
32,3,29,17001,22000,37.629712,-29.58869544692027,-1059.3394673213759,-1051.298450768296
32,3,29,22001,26819,37.629712,-22.71215726247715,-1059.3394673213759,-1044.421912583853
32,4,28,12001,17000,37.629712,-49.765610085424214,-1060.5459181988435,-1072.6818162842678
32,4,28,17001,22000,37.629712,-41.522379985310636,-1060.5459181988435,-1064.4385861841542
32,4,28,22001,26819,37.629712,-34.876612082228235,-1060.5459181988435,-1057.7928182810717
32,5,27,12001,17000,37.629712,-61.8090749793671,-1061.81893669325,-1085.9982996726171
32,5,27,17001,22000,37.629712,-53.85093613074946,-1061.81893669325,-1078.0401608239995
32,5,27,22001,26819,37.629712,-47.436122313286944,-1061.81893669325,-1071.625347006537
32,6,26,12001,17000,37.629712,-74.19053901507209,-1063.1668599966702,-1099.7276870117423
32,6,26,17001,22000,37.629712,-66.5176284083708,-1063.1668599966702,-1092.054776405041
32,6,26,22001,26819,37.629712,-60.33397690606745,-1063.1668599966702,-1085.8711249027376
32,7,25,12001,17000,37.629712,-86.87164123978704,-1064.5998194039462,-1113.8417486437331
32,7,25,17001,22000,37.629712,-79.48412070443959,-1064.5998194039462,-1106.4542281083857
32,7,25,22001,26819,37.629712,-73.53186694085701,-1064.5998194039462,-1100.501974344803
32,8,24,12001,17000,37.629712,-99.82507583467697,-1066.130334120645,-1128.325697955322
32,8,24,17001,22000,37.629712,-92.72313611945958,-1066.130334120645,-1121.2237582401046
32,8,24,22001,26819,37.629712,-87.00254569190247,-1066.130334120645,-1115.5031678125476
32,9,23,12001,17000,37.629712,-113.03074386270004,-1067.7741903104197,-1143.1752221731197
32,9,23,17001,22000,37.629712,-106.21460926798943,-1067.7741903104197,-1136.3590875784091
32,9,23,22001,26819,37.629712,-100.72598112899931,-1067.7741903104197,-1130.870459439419
32,10,22,12001,17000,37.629712,-126.47354658647015,-1069.5517978890832,-1158.3956324755534
32,10,22,17001,22000,37.629712,-119.94348018586203,-1069.5517978890832,-1151.8655660749453
32,10,22,22001,26819,37.629712,-114.68715001531086,-1069.5517978890832,-1146.6092359043942
32,11,21,12001,17000,37.629712,-140.142036122528,-1071.490397344419,-1174.0027214669472
