outer_weight,first_r,remaining_ones,gap_min,gap_max,outer_log2,placement_log2,tail_log2,term_log2
32,1,31,1,4000,37.629712,-55.03232145853627,-550.2924070858486,-567.6950165443849
32,1,31,4001,8000,37.629712,-39.43014815611889,-550.2924070858486,-552.0928432419674
32,1,31,8001,12000,37.629712,-27.79029276387746,-550.2924070858486,-540.452987849726
32,2,30,1,4000,37.629712,-64.33523575846232,-550.7688451297915,-577.4743688882538
32,2,30,4001,8000,37.629712,-49.2206529492953,-550.7688451297915,-562.3597860790868
32,2,30,8001,12000,37.629712,-37.94467984163589,-550.7688451297915,-551.0838129714274
32,3,29,1,4000,37.629712,-74.29200217389615,-551.2636098215411,-587.9258999954372
32,3,29,4001,8000,37.629712,-59.66501385182028,-551.2636098215411,-573.2989116733613
32,3,29,8001,12000,37.629712,-48.752955179642015,-551.2636098215411,-562.3868530011831
32,4,28,1,4000,37.629712,-84.73457312242613,-551.7781829943709,-598.883044116797
32,4,28,4001,8000,37.629712,-70.59518513313117,-551.7781829943709,-584.743656127502
32,4,28,8001,12000,37.629712,-60.04708184102333,-551.7781829943709,-574.1955528353942
32,5,27,1,4000,37.629712,-95.57183090459131,-552.3142358946111,-610.2563547992024
32,5,27,4001,8000,37.629712,-81.92005168518267,-552.3142358946111,-596.6045755797937
32,5,27,8001,12000,37.629712,-71.73595582327522,-552.3142358946111,-586.4204797178863
32,6,26,1,4000,37.629712,-106.74699919696633,-552.8736633032252,-621.9909505001915
32,6,26,4001,8000,37.629712,-93.58284080763508,-552.8736633032252,-608.8267921108602
32,6,26,8001,12000,37.629712,-83.7628184231881,-552.8736633032252,-599.0067697264133
32,7,25,1,4000,37.629712,-118.22169201615469,-553.4586258039462,-634.0506058201009
32,7,25,4001,8000,37.629712,-105.5451715665306,-553.4586258039462,-621.3740853704768
32,7,25,8001,12000,37.629712,-96.08930631072968,-553.4586258039462,-611.9182201146759
32,8,24,1,4000,37.629712,-129.96857155195318,-554.071602680837,-646.4104622327902
32,8,24,4001,8000,37.629712,-117.77971320306057,-554.071602680837,-634.2216038838976
32,8,24,8001,12000,37.629712,-108.68811081164182,-554.071602680837,-625.1300014924789
32,9,23,1,4000,37.629712,-141.96749799534183,-554.7154588706118,-659.0532448659536
32,9,23,4001,8000,37.629712,-130.26633571322395,-554.7154588706118,-647.3520825838357
32,9,23,8001,12000,37.629712,-121.53912955317332,-554.7154588706118,-638.624876423785
32,10,22,1,4000,37.629712,-154.203320396405,-555.3935307757243,-671.9671391721294
32,10,22,4001,8000,37.629712,-142.98990181121553,-555.3935307757243,-660.7537205869398
32,10,22,8001,12000,37.629712,-134.62725971387204,-555.3935307757243,-652.3910784895963
32,11,21,1,4000,37.629712,-166.66452418936746,-556.1097378097238,-685.1445499990913
32,11,21,4001,8000,37.629712,-155.93891589461776,-556.1097378097238,-674.4189417043416
32,11,21,8001,12000,37.629712,-147.94104853077175,-556.1097378097238,-666.4210743404956
32,12,20,1,4000,37.629712,-179.3423632748519,-556.86872971022,-698.581380985072
32,12,20,4001,8000,37.629712,-169.10465816706005,-556.86872971022,-688.34367587728
32,12,20,8001,12000,37.629712,-161.47182925105824,-556.86872971022,-680.7108469612782
32,13,19,1,4000,37.629712,-192.2302847327785,-557.6760846322776,-712.276657365056
32,13,19,4001,8000,37.629712,-182.48061210865166,-557.6760846322776,-702.5269847409293
32,13,19,8001,12000,37.629712,-175.21315074758655,-557.6760846322776,-695.2595233798642
32,14,18,1,4000,37.629712,-205.32354067446852,-558.5385811085276,-726.2324097829962
32,14,18,4001,8000,37.629712,-196.0620800494458,-558.5385811085276,-716.9709491579735
32,14,18,8001,12000,37.629712,-189.16039557061924,-558.5385811085276,-710.069264679147
32,15,17,1,4000,37.629712,-218.61892654877738,-559.4645805270839,-740.4537950758613
32,15,17,4001,8000,37.629712,-209.8459265522922,-559.4645805270839,-731.6807950793761
32,15,17,8001,12000,37.629712,-203.3105261486504,-559.4645805270839,-725.1453946757342
32,16,16,1,4000,37.629712,-232.1146101803584,-560.4645805270839,-754.9494787074423
32,16,16,4001,8000,37.629712,-223.8304141573778,-560.4645805270839,-746.6652826844617
32,16,16,8001,12000,37.629712,-217.66192366429703,-560.4645805270839,-740.4967921913809
32,17,15,1,4000,37.629712,-245.81003069605117,-561.5520433683342,-769.7323620643854
32,17,15,4001,8000,37.629712,-238.01511124423666,-561.5520433683342,-761.937442612571
32,17,15,8001,12000,37.629712,-232.21429930845034,-561.5520433683342,-756.1366306767845
32,18,14,1,4000,37.629712,-259.7058563016066,-562.7446884462767,-784.8208327478833
32,18,14,4001,8000,37.629712,-252.40086143717048,-562.7446884462767,-777.5158378834471
32,18,14,8001,12000,37.629712,-246.96866722530012,-562.7446884462767,-772.0836436715767
32,19,13,1,4000,37.629712,-273.803997274586,-564.066616541164,-800.24090181575
32,19,13,4001,8000,37.629712,-266.9898115390762,-564.066616541164,-793.4267160802401
32,19,13,8001,12000,37.629712,-261.92737596446966,-564.066616541164,-788.3642805056336
32,20,12,1,4000,37.629712,-288.1076773068559,-565.5520433683342,-816.0300086751902
32,20,12,4001,8000,37.629712,-281.7855016613103,-565.5520433683342,-809.7078330296446
32,20,12,8001,12000,37.629712,-277.0942018525234,-565.5520433683342,-805.0165332208576
32,21,11,1,4000,37.629712,-302.6215739585708,-567.2524830864753,-832.2443450450462
32,21,11,4001,8000,37.629712,-296.79302860701284,-567.2524830864753,-826.4157996934882
32,21,11,8001,12000,37.629712,-292.47451499778475,-567.2524830864753,-822.0972860842601
32,22,10,1,4000,37.629712,-317.3520493494849,-569.2524830864753,-848.9748204359603
32,22,10,4001,8000,37.629712,-312.0193035990668,-569.2524830864753,-843.6420746855422
32,22,10,8001,12000,37.629712,-308.0755385837479,-569.2524830864753,-839.6983096702232
32,23,9,1,4000,37.629712,-332.3075080727887,-571.7119147051127,-866.3897107779014
32,23,9,4001,8000,37.629712,-327.4734402733378,-571.7119147051127,-861.5556429784506
32,23,9,8001,12000,37.629712,-323.9067368477419,-571.7119147051127,-857.9889395528546
32,24,8,1,4000,37.629712,-347.49894561474264,-575.0338428,-884.9030764147426
32,24,8,4001,8000,37.629712,-343.1673340282925,-575.0338428,-880.5714648282925
32,24,8,8001,12000,37.629712,-339.98039226557825,-575.0338428,-877.3845230655783
33,1,32,1,4000,39.148185,-56.752107514171485,-549.8329754672113,-567.4368979813828
33,1,32,4001,8000,39.148185,-40.66234638473611,-549.8329754672113,-551.3471368519474
33,1,32,8001,12000,39.148185,-28.658633907440844,-549.8329754672113,-539.3434243746522
33,2,31,1,4000,39.148185,-66.01062539870895,-550.2924070858486,-577.1548474845575
33,2,31,4001,8000,39.148185,-50.40845209629151,-550.2924070858486,-561.5526741821401
33,2,31,8001,12000,39.148185,-38.768596704050196,-550.2924070858486,-549.9128187898988
33,3,30,1,4000,39.148185,-75.92158581246917,-550.7688451297915,-587.5422459422607
33,3,30,4001,8000,39.148185,-60.80700300330216,-550.7688451297915,-572.4276631330937
33,3,30,8001,12000,39.148185,-49.53102989564286,-550.7688451297915,-561.1516900254344
33,4,29,1,4000,39.148185,-86.31684870000595,-551.2636098215411,-598.432273521547
33,4,29,4001,8000,39.148185,-71.68986037793002,-551.2636098215411,-583.8052851994711
33,4,29,8001,12000,39.148185,-60.77780170575181,-551.2636098215411,-572.8932265272929
33,5,28,1,4000,39.148185,-97.10519448537747,-551.7781829943709,-609.7351924797484
33,5,28,4001,8000,39.148185,-82.96580649608251,-551.7781829943709,-595.5958044904535
33,5,28,8001,12000,39.148185,-72.41770320397467,-551.7781829943709,-585.0477011983456
33,6,27,1,4000,39.148185,-108.2297342196232,-552.3142358946111,-621.3957851142343
33,6,27,4001,8000,39.148185,-94.57795500021456,-552.3142358946111,-607.7440058948257
33,6,27,8001,12000,39.148185,-84.3938591383071,-552.3142358946111,-597.5599100329182
33,7,26,1,4000,39.148185,-119.65195698756901,-552.8736633032252,-633.3774352907942
33,7,26,4001,8000,39.148185,-106.48779859823776,-552.8736633032252,-620.2132769014629
33,7,26,8001,12000,39.148185,-96.66777621379077,-552.8736633032252,-610.393254517016
33,8,25,1,4000,39.148185,-131.3443858656625,-553.4586258039462,-645.6548266696087
33,8,25,4001,8000,39.148185,-118.66786541603841,-553.4586258039462,-632.9783062199847
33,8,25,8001,12000,39.148185,-109.2120001602375,-553.4586258039462,-623.5224409641837
33,9,24,1,4000,39.148185,-143.28672549501044,-554.071602680837,-658.2101431758475
