k,N,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097152,0.106,222298,26,6,1,gf,-6.604133,0.005,-2.237843,-8.841975,-8.841975,0,-2.237843,exact
1048576,2097152,0.106,222298,26,6,2,exact,1.022367,,-4.475684,-3.453317,-3.419284,0,-4.475684,exact
1048576,2097152,0.106,222298,26,6,3,exact,2.266780,,-6.713525,-4.446744,-2.843417,0,-6.713526,exact
1048576,2097152,0.106,222298,26,6,4,exact,4.344311,,-8.951364,-4.607052,-2.471016,0,-8.951366,exact
1048576,2097152,0.106,222298,26,6,5,exact,6.775915,,-11.189202,-4.413287,-2.137356,0,-11.189206,exact
1048576,2097152,0.106,222298,26,6,6,exact,9.189854,,-13.427038,-4.237184,-1.834849,0,-13.427045,exact
1048576,2097152,0.106,222298,26,6,7,exact,11.409319,,-15.664873,-4.255553,-1.587814,0,-15.664883,exact
1048576,2097152,0.106,222298,26,6,8,exact,13.427226,,-17.902705,-4.475479,-1.404967,0,-17.902721,exact
1048576,2097152,0.106,222298,26,6,9,exact,15.288395,,-20.140536,-4.852141,-1.278411,0,-20.140558,exact
1048576,2097152,0.106,222298,26,6,10,exact,17.056351,,-22.378364,-5.322013,-1.193477,0,-22.378394,exact
1048576,2097152,0.106,222298,26,6,11,exact,18.801229,,-24.616190,-5.814960,-1.136026,0,-24.616230,exact
1048576,2097152,0.106,222298,26,6,12,exact,20.582253,,-26.854012,-6.271759,-1.095563,0,-26.854064,exact
1048576,2097152,0.106,222298,26,6,13,exact,22.425064,,-29.091830,-6.666766,-1.065533,0,-29.091899,exact
1048576,2097152,0.106,222298,26,6,14,exact,24.316101,,-31.329644,-7.013543,-1.042351,0,-31.329732,exact
1048576,2097152,0.106,222298,26,6,15,exact,26.222505,,-33.567453,-7.344948,-1.024189,0,-33.567565,exact
1048576,2097152,0.106,222298,26,6,16,exact,28.115545,,-35.805256,-7.689711,-1.010047,0,-35.805397,exact
1048576,2097152,0.106,222298,26,6,17,exact,29.980472,,-38.043053,-8.062581,-0.999220,0,-38.043228,exact
1048576,2097152,0.106,222298,26,6,18,exact,31.815514,,-40.280842,-8.465328,-0.991083,0,-40.281058,exact
1048576,2097152,0.106,222298,26,6,19,exact,33.627225,,-42.518623,-8.891398,-0.985057,0,-42.518888,exact
1048576,2097152,0.106,222298,26,6,20,exact,35.425593,,-44.756393,-9.330800,-0.980629,0,-44.756717,exact
1048576,2097152,0.106,222298,26,6,21,exact,37.219903,,-46.994151,-9.774248,-0.977382,0,-46.994546,exact
