k,N,parity_n,parity_extra,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097184,1048608,32,0.106,222301,32,12,1,gf,-18.413263,0.005,-2.237845,-20.651108,-20.651108,0,-2.237845,exact
1048576,2097184,1048608,32,0.106,222301,32,12,2,exact,-11.000000,,-4.475690,-15.475690,-15.436309,0,-4.475690,exact
1048576,2097184,1048608,32,0.106,222301,32,12,3,exact,-6.000000,,-6.713533,-12.713533,-12.510041,0,-6.713533,exact
1048576,2097184,1048608,32,0.106,222301,32,12,4,exact,-2.037103,,-8.951376,-10.988480,-10.557329,0,-8.951376,exact
1048576,2097184,1048608,32,0.106,222301,32,12,5,exact,1.304926,,-11.189219,-9.884293,-9.181914,0,-11.189219,exact
1048576,2097184,1048608,32,0.106,222301,32,12,6,exact,4.198041,,-13.427060,-9.229019,-8.205274,0,-13.427060,exact
1048576,2097184,1048608,32,0.106,222301,32,12,7,exact,6.738555,,-15.664901,-8.926346,-7.521222,0,-15.664901,exact
1048576,2097184,1048608,32,0.106,222301,32,12,8,exact,8.990210,,-17.902741,-8.912531,-7.055280,0,-17.902741,exact
1048576,2097184,1048608,32,0.106,222301,32,12,9,exact,11.000774,,-20.140580,-9.139807,-6.749866,0,-20.140581,exact
1048576,2097184,1048608,32,0.106,222301,32,12,10,exact,12.810201,,-22.378419,-9.568218,-6.558591,0,-22.378420,exact
1048576,2097184,1048608,32,0.106,222301,32,12,11,exact,14.455439,,-24.616257,-10.160818,-6.444434,0,-24.616258,exact
1048576,2097184,1048608,32,0.106,222301,32,12,12,exact,15.973600,,-26.854094,-10.880494,-6.379280,0,-26.854095,exact
1048576,2097184,1048608,32,0.106,222301,32,12,13,exact,17.403935,,-29.091931,-11.687996,-6.343332,0,-29.091932,exact
1048576,2097184,1048608,32,0.106,222301,32,12,14,exact,18.788230,,-31.329766,-12.541536,-6.323816,0,-31.329768,exact
1048576,2097184,1048608,32,0.106,222301,32,12,15,exact,20.168545,,-33.567601,-13.399056,-6.313157,0,-33.567603,exact
1048576,2097184,1048608,32,0.106,222301,32,12,16,exact,21.581184,,-35.805435,-14.224251,-6.307176,0,-35.805437,exact
1048576,2097184,1048608,32,0.106,222301,32,12,17,exact,23.048205,,-38.043268,-14.995064,-6.303682,0,-38.043271,exact
1048576,2097184,1048608,32,0.106,222301,32,12,18,exact,24.571941,,-40.281101,-15.709160,-6.301556,0,-40.281104,exact
1048576,2097184,1048608,32,0.106,222301,32,12,19,exact,26.137965,,-42.518932,-16.380967,-6.300223,0,-42.518937,exact
