k,N,parity_n,parity_extra,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097232,1048656,80,0.106,222306,80,60,1,exact,-inf,,-2.237846,-inf,-inf,0,-2.237846,exact
1048576,2097232,1048656,80,0.106,222306,80,60,2,exact,-59.000000,,-4.475691,-63.475691,-63.475691,0,-4.475691,exact
1048576,2097232,1048656,80,0.106,222306,80,60,3,exact,-52.678072,,-6.713535,-59.391607,-59.308957,0,-6.713535,exact
1048576,2097232,1048656,80,0.106,222306,80,60,4,exact,-47.372922,,-8.951379,-56.324301,-56.152663,0,-8.951379,exact
1048576,2097232,1048656,80,0.106,222306,80,60,5,exact,-42.669573,,-11.189221,-53.858795,-53.591046,0,-11.189221,exact
1048576,2097232,1048656,80,0.106,222306,80,60,6,exact,-38.398141,,-13.427064,-51.825205,-51.453306,0,-13.427064,exact
1048576,2097232,1048656,80,0.106,222306,80,60,7,exact,-34.465535,,-15.664905,-50.130440,-49.645281,0,-15.664905,exact
1048576,2097232,1048656,80,0.106,222306,80,60,8,exact,-30.812851,,-17.902746,-48.715597,-48.106813,0,-17.902746,exact
1048576,2097232,1048656,80,0.106,222306,80,60,9,exact,-27.399403,,-20.140586,-47.539989,-46.795740,0,-20.140586,exact
1048576,2097232,1048656,80,0.106,222306,80,60,10,exact,-24.195358,,-22.378425,-46.573783,-45.680498,0,-22.378425,exact
1048576,2097232,1048656,80,0.106,222306,80,60,11,exact,-21.177861,,-24.616264,-45.794125,-44.736193,0,-24.616264,exact
1048576,2097232,1048656,80,0.106,222306,80,60,12,exact,-18.328793,,-26.854102,-45.182894,-43.942323,0,-26.854102,exact
1048576,2097232,1048656,80,0.106,222306,80,60,13,exact,-15.633381,,-29.091939,-44.725321,-43.281342,0,-29.091939,exact
1048576,2097232,1048656,80,0.106,222306,80,60,14,exact,-13.079292,,-31.329776,-44.409067,-42.737711,0,-31.329776,exact
1048576,2097232,1048656,80,0.106,222306,80,60,15,exact,-10.655996,,-33.567611,-44.223607,-42.297262,0,-33.567611,exact
1048576,2097232,1048656,80,0.106,222306,80,60,16,exact,-8.354322,,-35.805446,-44.159768,-41.946767,0,-35.805446,exact
1048576,2097232,1048656,80,0.106,222306,80,60,17,exact,-6.166116,,-38.043281,-44.209397,-41.673678,0,-38.043281,exact
1048576,2097232,1048656,80,0.106,222306,80,60,18,exact,-4.083977,,-40.281115,-44.365092,-41.466021,0,-40.281115,exact
1048576,2097232,1048656,80,0.106,222306,80,60,19,exact,-2.101043,,-42.518947,-44.619991,-41.312414,0,-42.518947,exact
1048576,2097232,1048656,80,0.106,222306,80,60,20,exact,-0.210807,,-44.756780,-44.967587,-41.202218,0,-44.756780,exact
1048576,2097232,1048656,80,0.106,222306,80,60,21,exact,1.593038,,-46.994611,-45.401573,-41.125750,0,-46.994611,exact
1048576,2097232,1048656,80,0.106,222306,80,60,22,exact,3.316742,,-49.232442,-45.915700,-41.074520,0,-49.232442,exact
1048576,2097232,1048656,80,0.106,222306,80,60,23,exact,4.966621,,-51.470272,-46.503651,-41.041418,0,-51.470272,exact
1048576,2097232,1048656,80,0.106,222306,80,60,24,exact,6.549152,,-53.708102,-47.158949,-41.020788,0,-53.708102,exact
1048576,2097232,1048656,80,0.106,222306,80,60,25,exact,8.071051,,-55.945930,-47.874879,-41.008371,0,-55.945930,exact
1048576,2097232,1048656,80,0.106,222306,80,60,26,exact,9.539290,,-58.183758,-48.644468,-41.001137,0,-58.183758,exact
1048576,2097232,1048656,80,0.106,222306,80,60,27,exact,10.961062,,-60.421585,-49.460524,-40.997044,0,-60.421585,exact
1048576,2097232,1048656,80,0.106,222306,80,60,28,exact,12.343669,,-62.659412,-50.315743,-40.994786,0,-62.659412,exact
1048576,2097232,1048656,80,0.106,222306,80,60,29,exact,13.694331,,-64.897238,-51.202906,-40.993567,0,-64.897238,exact
1048576,2097232,1048656,80,0.106,222306,80,60,30,exact,15.019928,,-67.135063,-52.115135,-40.992920,0,-67.135063,exact
1048576,2097232,1048656,80,0.106,222306,80,60,31,exact,16.326721,,-68.344584,-52.017863,-40.992228,0,-68.344584,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,32,exact,17.620105,,-70.549575,-52.929470,-40.991860,0,-70.549575,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,33,exact,18.904448,,-72.754615,-53.850167,-40.991665,0,-72.754615,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,34,exact,20.183055,,-74.959704,-54.776649,-40.991563,0,-74.959704,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,35,exact,21.458250,,-77.164841,-55.706591,-40.991510,0,-77.164841,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,36,exact,22.731553,,-79.370026,-56.638473,-40.991482,0,-79.370026,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,37,exact,24.003881,,-81.575260,-57.571380,-40.991467,0,-81.575260,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,38,exact,25.275744,,-83.780543,-58.504798,-40.991459,0,-83.780543,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,39,exact,26.547406,,-85.985874,-59.438467,-40.991455,0,-85.985874,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,40,exact,27.818990,,-88.191253,-60.372263,-40.991453,0,-88.191253,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,41,exact,29.090547,,-90.396680,-61.306133,-40.991452,0,-90.396680,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,42,exact,30.362097,,-92.602155,-62.240059,-40.991451,0,-92.602155,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,43,exact,31.633646,,-94.807679,-63.174033,-40.991451,0,-94.807679,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,44,exact,32.905196,,-97.013250,-64.108055,-40.991451,0,-97.013250,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,45,exact,34.176746,,-99.218870,-65.042124,-40.991451,0,-99.218870,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,46,exact,35.448297,,-101.424537,-65.976240,-40.991451,0,-101.424537,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,47,exact,36.719848,,-103.630252,-66.910404,-40.991451,0,-103.630252,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,48,exact,37.991398,,-105.836014,-67.844616,-40.991451,0,-105.836014,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,49,exact,39.262949,,-108.041825,-68.778875,-40.991451,0,-108.041825,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,50,exact,40.534500,,-110.247682,-69.713182,-40.991451,0,-110.247682,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,51,gf,48.148340,0.39303314505,-112.323306,-64.174966,-40.991450,0,-112.323306,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,52,gf,49.495618,0.39303314505,-114.659540,-65.163922,-40.991450,0,-114.659540,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,53,gf,50.842895,0.39303314505,-116.726910,-65.884015,-40.991450,0,-116.726910,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,54,gf,52.165217,0.40634819091,-119.071587,-66.906370,-40.991450,0,-119.071587,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,55,gf,53.464428,0.40634819091,-121.130520,-67.666092,-40.991450,0,-121.130520,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,56,gf,54.763640,0.40634819091,-123.483822,-68.720182,-40.991450,0,-123.483822,blocked
