power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2,q_single,q_peak_h,q_peak_log2,q_total_log2,m_gamma,m_peak_h,m_peak_log2,m_total_log2,m0_gamma,m0_peak_h,m0_peak_log2,m0_total_log2,b_opt_log2,b_ctr_log2,b_pess_log2
10,1024,14,4,0.12,2062.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.4274553238865,-860.0122363598522,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-3.1627119860375075,-inf,0.4756406029027334,0.24,4.0,-3.221463765409448,-0.6408623212351513,0.04268188040000001,4.0,-3.559739765005597,-1.356593571422728,0.048,3.0,-3.6029320635872493,-1.423825006608931,0.4756406029027334,-1.356593571422728,-0.6408623212351513
10,1024,15,5,0.12,2063.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.56466061160927,-860.4314432239563,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-6.278904978847853,-inf,-4.360413099894667,0.24,4.0,-3.961296583673544,-1.4699059134301002,0.04268188040000001,4.0,-4.29958761340983,-2.1461633553261894,0.048,4.0,-4.34499170499868,-2.2130674563499535,-4.360413099894667,-2.1461633553261894,-1.4699059134301002
10,1024,16,6,0.12,2064.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.700862983031,-860.8506500880604,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-8.328644720746137,-inf,-7.1209375672444315,0.24,4.0,-4.706432483735269,-2.24423718489149,0.04268188040000001,4.0,-5.044738529130593,-2.912009018126254,0.048,4.0,-5.090142922024838,-2.98046607783202,-7.1209375672444315,-2.912009018126254,-2.24423718489149
10,1024,17,7,0.12,2065.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.83706605116436,-861.2698569521644,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-11.158149859285357,-inf,-9.777818976635169,0.24,4.0,-5.460907321455776,-2.9856724397158336,0.04268188040000001,4.0,-5.799228368049958,-3.6645511047229116,0.048,4.0,-5.8446330619617335,-3.7357755436231352,-9.777818976635169,-3.6645511047229116,-2.9856724397158336
10,1024,18,8,0.12,2066.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.97427133888715,-861.6890638162686,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,2.0,-13.637130610958092,-inf,-12.010729582774141,0.24,5.0,-6.16182425508798,-3.707130960183923,0.04268188040000001,4.0,-6.564331307990826,-4.4098940983250055,0.048,4.0,-6.609736302632679,-4.484682671174548,-12.010729582774141,-4.4098940983250055,-3.707130960183923
12,4096,16,4,0.12,8208.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1113.698949999359,-3434.4749011350136,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-3.3515592911367644,-inf,-0.03386647702923189,0.24,4.0,-2.6800457402212166,0.19912891225289758,0.04268188040000001,4.0,-3.041639142961661,-0.8135877802993543,0.048,4.0,-3.0875136026346803,-0.89423597346137,-0.03386647702923189,-0.8135877802993543,0.19912891225289758
12,4096,17,5,0.12,8209.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1113.8359031337925,-3434.8941079991178,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-6.412547423484657,-inf,-4.804372652948723,0.24,5.0,-3.434398942674699,-0.716002917637205,0.04268188040000001,4.0,-3.8096941838391327,-1.6257599184977034,0.048,4.0,-3.8555686629464123,-1.7042241182099547,-4.804372652948723,-1.6257599184977034,-0.716002917637205
12,4096,18,6,0.12,8210.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1113.9728563122894,-3435.313314863222,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-8.87192202957068,-inf,-7.642567861500679,0.24,5.0,-4.144660207432188,-1.541663421369938,0.04268188040000001,4.0,-4.581252844996405,-2.406976259015153,0.048,4.0,-4.627127343533227,-2.4859541896026225,-7.642567861500679,-2.406976259015153,-1.541663421369938
12,4096,19,7,0.12,8211.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1114.1098095348345,-3435.7325217273255,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-10.873123681225179,-38.24770977959982,-10.035415027210934,0.24,5.0,-4.857213469913161,-2.3140678254647056,0.04268188040000001,4.0,-5.360079301164973,-3.170740273464067,0.048,4.0,-5.405953819126621,-3.2519407999122154,-10.035415027210934,-3.170740273464067,-2.3140678254647056
12,4096,20,8,0.12,8212.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1114.2470148225573,-3436.1517285914297,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,3.0,-13.730090439420513,-inf,-12.51781820982683,0.24,5.0,-5.5773352479298,-3.054392150062851,0.04268188040000001,4.0,-6.147481515511965,-3.9249651530716956,0.048,4.0,-6.193356052893725,-4.009479496515307,-12.51781820982683,-3.9249651530716956,-3.054392150062851
