power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2,q_single,q_peak_h,q_peak_log2,q_total_log2,m_gamma,m_peak_h,m_peak_log2,m_total_log2,ms_gamma,ms_peak_h,ms_peak_log2,ms_total_log2,mss_slack_bits,mss_total_log2,m0_gamma,m0_peak_h,m0_peak_log2,m0_total_log2,b_opt_log2,b_ctr_log2,b_safe_log2,b_safe_slack_log2,b_pess_log2
16,65536,21,5,0.12,131093.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.173097893265,-54944.72898402709,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-6.92418463748937,-inf,-5.063219184380435,0.24,5.0,-2.2720480190508727,1.0181186735114278,0.04268188040000001,5.0,-2.886949781162274,-0.5273780514757072,0.04085999999999998,5.0,-2.8606734992634415,-0.4885678008102786,0.5,0.011432199189721381,0.048,5.0,-2.9636506476915034,-0.63532257278087,-5.063219184380435,-0.5273780514757072,-0.4885678008102786,0.011432199189721381,1.0181186735114278
16,65536,22,6,0.12,131094.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.310287394248,-54945.14819089119,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-9.355146717221032,-inf,-8.156326147432791,0.24,6.0,-3.0080922906646066,0.0009184424725421853,0.04268188040000001,5.0,-3.644968122843297,-1.3450613184182243,0.04085999999999998,5.0,-3.618691840884251,-1.3077168837514899,0.5,-0.8077168837514899,0.048,5.0,-3.7216689895508246,-1.4496530367046494,-8.156326147432791,-1.3450613184182243,-1.3077168837514899,-0.8077168837514899,0.0009184424725421853
16,65536,23,7,0.12,131095.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.447476895402,-54945.567397755294,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,1.0,-12.736712457913164,-inf,-11.081164386602213,0.24,6.0,-3.7206101372789497,-0.8881433883302152,0.04268188040000001,5.0,-4.403610084622755,-2.132537298167858,0.04085999999999998,5.0,-4.377333802603494,-2.0953516615716583,0.5,-1.5953516615716583,0.048,5.0,-4.480310951508577,-2.237175176389196,-11.081164386602213,-2.132537298167858,-2.0953516615716583,-1.5953516615716583,-0.8881433883302152
16,65536,24,8,0.12,131096.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.584682183126,-54945.9866046194,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,19.0,3.0,-14.145921488252798,-inf,-13.12021645591489,0.24,6.0,-4.432288764757405,-1.6994987701889877,0.04268188040000001,5.0,-5.16729870261429,-2.9030452400673195,0.04085999999999998,5.0,-5.141022420534816,-2.865200287080413,0.5,-2.365200287080413,0.048,5.0,-5.243999569678404,-3.0098500465898264,-13.12021645591489,-2.9030452400673195,-2.865200287080413,-2.365200287080413,-1.6994987701889877
18,262144,23,5,0.12,524311.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.76209932605,-219782.41367330865,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-6.416418249536987,-inf,-4.937374015907241,0.24,6.0,-1.6547215374380393,2.06303033816416,0.04268188040000001,5.0,-2.3788571311722517,0.03244661112351522,0.04085999999999998,5.0,-2.3525749277527908,0.07812600145100745,0.5,0.5781260014510075,0.048,5.0,-2.4555755315305596,-0.09375421908322791,-4.937374015907241,0.03244661112351522,0.07812600145100745,0.5781260014510075,2.06303033816416
18,262144,24,6,0.12,524312.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.8993006666,-219782.83288017273,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-10.073570314955688,-38.95720538209847,-8.412422667974697,0.24,6.0,-2.400137934529665,0.8886534691868792,0.04268188040000001,5.0,-3.155698697623703,-0.8088043045665952,0.04085999999999998,5.0,-3.129416494200476,-0.7658291217235538,0.5,-0.2658291217235538,0.048,5.0,-3.232417097993163,-0.9285680372851925,-8.412422667974697,-0.8088043045665952,-0.7658291217235538,-0.2658291217235538,0.8886534691868792
18,262144,25,7,0.12,524313.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71920.03650200715,-219783.25208703685,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,1.0,-12.736895885549185,-inf,-11.193819860404604,0.24,6.0,-3.133273367229801,-0.10175426199604473,0.04268188040000001,5.0,-3.932601592813226,-1.6110822314268631,0.04085999999999998,5.0,-3.9063193893862334,-1.5689988509998218,0.5,-1.0689988509998218,0.048,5.0,-4.009319993193838,-1.7290835132577316,-11.193819860404604,-1.6110822314268631,-1.5689988509998218,-1.0689988509998218,-0.10175426199604473
18,262144,26,8,0.12,524314.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71920.17370729487,-219783.67129390096,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,18.0,1.0,-14.736893592559792,-inf,-13.720266080198137,0.24,6.0,-3.865221181632597,-0.9764599560682332,0.04268188040000001,5.0,-4.713645021601675,-2.391197146689892,0.04085999999999998,5.0,-4.687362818170918,-2.34886968260274,0.5,-1.8488696826027402,0.048,5.0,-4.790363421993439,-2.5103536484070132,-13.720266080198137,-2.391197146689892,-2.34886968260274,-1.8488696826027402,-0.9764599560682332
20,1048576,25,5,0.12,2097177.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.29422110145,-879136.63746439,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-7.356719475002203,-inf,-5.055595924861827,0.24,14.0,-0.9668389212958672,3.2521855515531968,0.04268188040000001,5.0,-1.909410959045525,0.5985285981346441,0.04085999999999998,5.0,-1.8831272745990173,0.6522405491695868,0.5,1.1522405491695868,0.048,5.0,-1.9861337448043361,0.45124771580022766,-5.055595924861827,0.5985285981346441,0.6522405491695868,1.1522405491695868,3.2521855515531968
20,1048576,26,6,0.12,2097178.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.43142638914,-879137.0566712541,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,2.0,-10.717612171152044,-35.487156092127066,-8.59755559031215,0.24,7.0,-1.8325282526840816,1.8853818112615264,0.04268188040000001,5.0,-2.702521921327074,-0.27075625445662,0.04085999999999998,5.0,-2.676238236880332,-0.22137959221666753,0.5,0.27862040778333247,0.048,5.0,-2.7792447070865816,-0.40756247541469665,-8.59755559031215,-0.27075625445662,-0.22137959221666753,0.27862040778333247,1.8853818112615264
