power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2
10,1024,13,3,0.12,2061.0,1.802046835979507,5.0,4.540433583996414,2.8967843410276,-0.13720528772275742,0.5000032188136595,-272.29125365014573,-859.5930294957482,4.941021685228788,64.0,-16.288535225747886,-21.590428116424185,-16.2524193275171,14.433771095650291,14.433771095670936
10,1024,14,4,0.12,2062.0,1.217084335258351,5.0,3.1162459463543914,2.311821840306444,-0.13720528772275742,0.5000032188136595,-272.4274553238865,-860.0122363598522,3.769389083220089,64.0,-17.288099189156494,-22.17539061714534,-17.240157069573648,-1.6541956915042058,-1.6541947328120472
12,4096,15,3,0.12,8207.0,2.6384851162906107,6.0,5.5721247035359065,3.3181851220598597,-0.13720528772275742,0.5000032188136595,-1113.561744711636,-3434.0556942709095,5.846715367174493,64.0,-18.284515451520214,-20.75398983611308,-18.045047849958213,7.1285812517848655,7.128581257615076
12,4096,16,4,0.12,8208.0,2.053522615569454,6.0,4.127889586151384,2.7332226213387036,-0.13720528772275742,0.5000032188136595,-1113.698949999359,-3434.4749011350136,4.592905391066941,64.0,-19.28440410629973,-21.338952336834236,-18.973221907080358,-1.8832017812334396,-1.8831997748694171
14,16384,17,3,0.12,32785.0,3.470146559551871,7.0,6.5330163897573925,3.734809066042276,-0.13720528772275742,0.5000032188136595,-4483.795135792111,-13735.339487647932,6.726808094484334,64.0,-20.276199210095825,-19.92232839285182,-19.08844101102081,4.98139449341102,4.981394539373869
14,16384,18,4,0.12,32786.0,2.885184058830714,7.0,5.044850362325834,3.14984656532112,-0.13720528772275742,0.5000032188136595,-4483.932277957388,-13735.758694512037,5.388397915986527,64.0,-21.276170849532416,-20.50729089357298,-19.841104294952256,-1.8029726899131433,-1.802969312274359
16,65536,19,3,0.12,131091.0,4.300617896854377,8.0,7.4454802187276155,4.150242904065939,-0.13720528772275742,0.5000032188136595,-17969.898703104736,-54943.89057029888,7.585430685105741,64.0,-22.26666866454684,-19.091857055549315,-18.94034187870952,4.918239059051609,4.918239144443257
16,65536,20,4,0.12,131092.0,3.7156553961332213,8.0,5.896176531820579,3.565280403344783,-0.13720528772275742,0.5000032188136595,-17970.035892605545,-54944.309777162984,6.157720131349304,64.0,-23.26666144707078,-19.67681955627047,-19.561717091210774,-1.7390433491306638,-1.7390376031391503
18,262144,21,3,0.12,524309.0,5.130791963087699,9.0,8.323972857929181,4.565379471020417,-0.13720528772275742,0.5000032188136595,-71919.48769269779,-219781.57525958042,8.426811078026178,64.0,-24.256798523790636,-18.261682989315993,-18.239239905275493,5.290614274694013,5.290614391974721
18,262144,22,4,0.12,524310.0,4.545829462366543,9.0,6.6995364928554775,3.980416970299261,-0.13720528772275742,0.5000032188136595,-71919.62489403832,-219781.99446644454,6.9035106598934375,64.0,-25.256796687660398,-18.84664549003715,-18.82978050942078,-1.4704897443324583,-1.4704812636818012
20,1048576,23,3,0.12,2097175.0,5.960891727501389,10.0,9.178792315624081,4.980441736155264,-0.13720528772275742,0.5000032188136595,-287723.01981249964,-879135.7990506619,9.255312625856023,64.0,-26.24683420847879,-17.4315832249023,-17.428384050171214,5.799347730475444,5.799347877019252
20,1048576,24,4,0.12,2097176.0,5.375929226780233,10.0,7.466798047185275,4.395479235434107,-0.13720528772275742,0.5000032188136595,-287723.15701680054,-879136.2182575259,7.628970623282109,64.0,-27.246833741398596,-18.01654572562346,-18.01414567896648,-1.3107928940256846,-1.3107793969462147
