power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2
10,1024,13,3,0.12,2061.0,1.802046835979507,5.0,4.540433583996414,2.8967843410276,-0.13720528772275742,0.5000032188136595,-272.29125365014573,-859.5930294957482,4.941021685228788,64.0,-16.288535225747886,-21.590428116424185,-16.2524193275171,14.433771095650274,14.433771095670918,603.0,603.0,395.367170930411,396.34138808372404,-inf,396.34138808372404,603.0,603.0,395.367170930411,-inf,396.34138808372404
10,1024,14,4,0.12,2062.0,1.217084335258351,5.0,3.1162459463543914,2.311821840306444,-0.13720528772275742,0.5000032188136595,-272.4274553238865,-860.0122363598522,3.769389083220089,64.0,-17.288099189156494,-22.17539061714534,-17.240157069573648,-1.6541956915042062,-1.6541947328120477,603.0,603.0,271.2178201994411,272.6474696282209,-inf,272.6474696282209,603.0,603.0,271.2178201994411,-inf,272.6474696282209
10,1024,15,5,0.12,2063.0,0.6321218345371946,5.0,2.3140540167062724,1.726859339585288,-0.13720528772275742,0.5000032188136595,-272.56466061160927,-860.4314432239563,3.050127154711734,64.0,-18.28766330073617,-22.760353117866497,-18.22410688024017,-5.246743147605886,-5.2467354376579545,43.0,3.0,-7.108113361386802,-5.246743294118296,-14.044565633010777,-5.243505280599053,43.0,3.0,-7.108113361386802,-inf,-5.246743294118296
12,4096,15,3,0.12,8207.0,2.6384851162906107,6.0,5.5721247035359065,3.3181851220598597,-0.13720528772275742,0.5000032188136595,-1113.561744711636,-3434.0556942709095,5.846715367174493,64.0,-18.284515451520214,-20.75398983611308,-18.045047849958213,7.1285812517848575,7.1285812576150684,813.0,805.0,inf,nan,-331.6170767959671,nan,813.0,805.0,inf,-inf,nan
12,4096,16,4,0.12,8208.0,2.053522615569454,6.0,4.127889586151384,2.7332226213387036,-0.13720528772275742,0.5000032188136595,-1113.698949999359,-3434.4749011350136,4.592905391066941,64.0,-19.28440410629973,-21.338952336834236,-18.973221907080358,-1.8832017812334392,-1.8831997748694167,55.0,5.0,-4.116296629715771,-1.8832019154332436,-17.603614843324642,-1.8831751943117596,55.0,5.0,-4.116296629715771,-inf,-1.8832019154332436
12,4096,17,5,0.12,8209.0,1.4685601148482978,6.0,3.3513986319036917,2.1482601206175476,-0.13720528772275742,0.5000032188136595,-1113.8359031337925,-3434.8941079991178,3.8717750063184506,64.0,-20.284292770377775,-21.923914837555394,-19.88272724515419,-5.674595315142288,-5.674576795219742,32.0,4.0,-7.191772248634725,-5.674595322714647,-8.642714860632392,-5.50109305820247,32.0,4.0,-7.191772248634725,-inf,-5.674595322714647
14,16384,17,3,0.12,32785.0,3.470146559551871,7.0,6.5330163897573925,3.734809066042276,-0.13720528772275742,0.5000032188136595,-4483.795135792111,-13735.339487647932,6.726808094484334,64.0,-20.276199210095825,-19.92232839285182,-19.08844101102081,4.981394493411022,4.981394539373871,816.0,808.0,inf,nan,-332.0305278505424,nan,816.0,808.0,inf,-inf,nan
14,16384,18,4,0.12,32786.0,2.885184058830714,7.0,5.044850362325834,3.14984656532112,-0.13720528772275742,0.5000032188136595,-4483.932277957388,-13735.758694512037,5.388397915986527,64.0,-21.276170849532416,-20.50729089357298,-19.841104294952256,-1.8029726899131446,-1.8029693122743604,42.0,5.0,-3.5170168394399264,-1.802972736281777,-11.376465909438414,-1.8010804750761555,42.0,5.0,-3.5170168394399264,-inf,-1.802972736281777
14,16384,19,5,0.12,32787.0,2.3002215581095578,7.0,4.279362917596725,2.5648840645999638,-0.13720528772275742,0.5000032188136595,-4484.069483245111,-13736.17790137614,4.663094984585924,64.0,-22.276142489555472,-21.092253394294133,-20.5660209439103,-5.644147586766434,-5.644115314723603,28.0,4.0,-6.848022400458161,-5.644147588624428,-6.150903420255757,-4.875388805474806,28.0,4.0,-6.848022400458161,-inf,-5.644147588624428
16,65536,19,3,0.12,131091.0,4.300617896854377,8.0,7.4454802187276155,4.150242904065939,-0.13720528772275742,0.5000032188136595,-17969.898703104736,-54943.89057029888,7.585430685105741,64.0,-22.26666866454684,-19.091857055549315,-18.94034187870952,4.9182390590516105,4.918239144443259,816.0,808.0,inf,nan,-331.2000565132399,nan,816.0,808.0,inf,-inf,nan
16,65536,20,4,0.12,131092.0,3.7156553961332213,8.0,5.896176531820579,3.565280403344783,-0.13720528772275742,0.5000032188136595,-17970.035892605545,-54944.309777162984,6.157720131349304,64.0,-23.26666144707078,-19.67681955627047,-19.561717091210774,-1.7390433491306627,-1.7390376031391492,39.0,6.0,-3.708978278013772,-1.739043357660603,-9.300882074299375,-1.7314280484782294,39.0,6.0,-3.708978278013772,-inf,-1.739043357660603
16,65536,21,5,0.12,131093.0,3.130692895412065,8.0,5.133031561272252,2.980317902623627,-0.13720528772275742,0.5000032188136595,-17970.173097893265,-54944.72898402709,5.425682824758176,64.0,-24.266654229652595,-20.261782056991628,-20.174605359111908,-5.94371456587199,-5.943643934748709,27.0,5.0,-7.700027163463345,-5.943714566281148,-4.905394583674406,-4.333092654015445,27.0,5.0,-7.700027163463345,-36.742934239083056,-5.943714565509027
18,262144,21,3,0.12,524309.0,5.130791963087699,9.0,8.323972857929181,4.565379471020417,-0.13720528772275742,0.5000032188136595,-71919.48769269779,-219781.57525958042,8.426811078026178,64.0,-24.256798523790636,-18.261682989315993,-18.239239905275493,5.290614274694018,5.290614391974726,142.0,9.0,2.193095094907184,5.291699125727091,-50.63460793306581,5.291699125727091,142.0,9.0,2.193095094907184,-inf,5.291699125727091
18,262144,22,4,0.12,524310.0,4.545829462366543,9.0,6.6995364928554775,3.980416970299261,-0.13720528772275742,0.5000032188136595,-71919.62489403832,-219781.99446644454,6.9035106598934375,64.0,-25.256796687660398,-18.84664549003715,-18.82978050942078,-1.470489744332464,-1.470481263681807,36.0,6.0,-3.220999731508618,-1.470489750489881,-7.225595510229522,-1.4440215071535558,36.0,6.0,-3.220999731508618,-inf,-1.470489750489881
