weight,count
0,1
32,52955952
48,919315326720
56,271767121346560
60,860689275027456
64,89163020044002040
68,1777323352931696640
72,64959328938397057024
76,2094952122987829002240
80,86129855718211879936768
84,3718387228743293604986880
88,216407674400647746861465600
92,15958945395035022932054114304
96,1570964763114053055495174389136
100,207755244457303752035637154283520
104,34164336816436357675455725024378880
108,5992987676360073735151889707696128000
112,983217921810034263357552475089021004288
116,140881159168600922710983130625456163782656
120,17178463264607761296016540993629780705771520
124,1770270551281316280504947079180771901717872640
128,154198773988541804525321284585063483246993999900
132,11380437366712812474455950864177326068447989202944
136,713793445298874211607839796879716106185715280216064
140,38161660034401312989486264769054124765959796671119360
144,1744077996406613042017016863461234839306732612077058560
148,68320936493023612641136928149296775084064365913214812160
152,2299744204800465802453316637595783829108912802028206751744
156,66674424868716978552789375387240003239187186349775851094016
160,1668559700964160587350805664583122924498928358151715733007408
164,36117082274027891545154187373048131661136552390031364702863360
168,677483598989547107793615101247739514269621184741356041461104640
172,11032441933713096201663286389373184730113421621201515757397082112
176,156225095497619813307679231937780861426835567156776476525084177664
180,1926667532217097161576702991776654344250440175688196887457279508480
184,20723534026876536792281002394151796205045793736436788802938336133120
188,194671442741837852939975553363771856234841259238404365556287065292800
192,1599044990181340998819270766161596605692512085057170791477694075282632
196,11498415685246302189888474222781442491860129957714864173250891967627264
200,72459467570743603819378812718772497540870770484626494838959726267809792
204,400549932263936554220342987258224499780564121712827465674395223861493760
208,1944071611978423909059426198144849863064608675044397429548995177751732480
212,8291211853278378544436157221213736835450108801042695204524353086973542400
216,31095502600701130763682713427899390240950550846409105550583369693522427904
220,102622652435510219354959437959897900434480615845926142166854426192158654464
224,298206281302110726623000750445450132512881810629607123478473554095237810960
228,763396919631666688676755106996803883003881847438728311891109384630797598720
232,1722452776176219896357452486934573175804665343735169479919087899582551687168
236,3426750460257305904470547641506642175867699465315478403354123631366508642304
240,6013163599489683999312799935491777179772724247998877953378442920501417933824
244,9309551320248854051332692772889245412495562988894547412532818045057116405760
248,12718986044129514620716674156341900030463015021774940408815989741288144568320
252,15336997499945305387056357527918950456934399969250231086077675815418680311808
256,16324199909251682000435577287934368523097397692548071777837483832108326674502
260,15336997499945305387056357527918950456934399969250231086077675815418680311808
264,12718986044129514620716674156341900030463015021774940408815989741288144568320
268,9309551320248854051332692772889245412495562988894547412532818045057116405760
272,6013163599489683999312799935491777179772724247998877953378442920501417933824
276,3426750460257305904470547641506642175867699465315478403354123631366508642304
280,1722452776176219896357452486934573175804665343735169479919087899582551687168
284,763396919631666688676755106996803883003881847438728311891109384630797598720
288,298206281302110726623000750445450132512881810629607123478473554095237810960
292,102622652435510219354959437959897900434480615845926142166854426192158654464
296,31095502600701130763682713427899390240950550846409105550583369693522427904
300,8291211853278378544436157221213736835450108801042695204524353086973542400
304,1944071611978423909059426198144849863064608675044397429548995177751732480
308,400549932263936554220342987258224499780564121712827465674395223861493760
312,72459467570743603819378812718772497540870770484626494838959726267809792
316,11498415685246302189888474222781442491860129957714864173250891967627264
320,1599044990181340998819270766161596605692512085057170791477694075282632
324,194671442741837852939975553363771856234841259238404365556287065292800
328,20723534026876536792281002394151796205045793736436788802938336133120
332,1926667532217097161576702991776654344250440175688196887457279508480
336,156225095497619813307679231937780861426835567156776476525084177664
340,11032441933713096201663286389373184730113421621201515757397082112
344,677483598989547107793615101247739514269621184741356041461104640
348,36117082274027891545154187373048131661136552390031364702863360
352,1668559700964160587350805664583122924498928358151715733007408
356,66674424868716978552789375387240003239187186349775851094016
360,2299744204800465802453316637595783829108912802028206751744
364,68320936493023612641136928149296775084064365913214812160
368,1744077996406613042017016863461234839306732612077058560
372,38161660034401312989486264769054124765959796671119360
376,713793445298874211607839796879716106185715280216064
380,11380437366712812474455950864177326068447989202944
384,154198773988541804525321284585063483246993999900
388,1770270551281316280504947079180771901717872640
392,17178463264607761296016540993629780705771520
396,140881159168600922710983130625456163782656
400,983217921810034263357552475089021004288
404,5992987676360073735151889707696128000
408,34164336816436357675455725024378880
412,207755244457303752035637154283520
416,1570964763114053055495174389136
420,15958945395035022932054114304
424,216407674400647746861465600
428,3718387228743293604986880
432,86129855718211879936768
436,2094952122987829002240
440,64959328938397057024
444,1777323352931696640
448,89163020044002040
452,860689275027456
456,271767121346560
464,919315326720
480,52955952
512,1
