file,n,cut,delta,q1,q2,gamma_from_q2,pred_gamma
enum_WC12_WC120.120.12.txt,120,10,0.08333333333333333,0.1666260069925079,0.025702832864358666,0.07714715089925663,0.07384563409146501
enum_WC12_WC120.120.12.txt,120,11,0.09166666666666666,0.1832886076917587,0.03140351713076208,0.06744882734424222,0.06676859313702868
enum_WC12_WC120.120.12.txt,120,12,0.1,0.19995120839100947,0.03767336410442601,0.059438156178468045,0.05969155218259235
enum_WC12_WC120.120.12.txt,120,13,0.10833333333333334,0.21661380909026026,0.04451235989207766,0.05270999285542954,0.052614511228156025
enum_WC12_WC120.120.12.txt,120,14,0.11666666666666667,0.23327640978951109,0.051920528613919215,0.046978584493478186,0.04553747027371968
enum_WC16_WC128.128.16.txt,128,12,0.09375,0.18749714078968063,0.03302167202743221,0.06260783934389652,0.06498111940290544
enum_WC16_WC128.128.16.txt,128,13,0.1015625,0.20312190252215404,0.03902289528858652,0.055708796150106966,0.05834487571682853
enum_WC16_WC128.128.16.txt,128,14,0.109375,0.2187466642546274,0.04552400445683041,0.04983351569705054,0.05170863203075163
enum_WC16_WC128.128.16.txt,128,15,0.1171875,0.2343714259871008,0.05252503098222012,0.044769179403736946,0.04507238834467471
enum_WC16_WC128.128.16.txt,128,16,0.125,0.2499961877195742,0.0600259626561384,0.04035887870104946,0.03843614465859782
