series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"extended BCH [8,4,4] exact",fixed,8,4,18,262144,524288,65536,52428,64,14,1024,-0.8991906558648693,4,-8.5,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,18,262144,524288,16384,52428,64,14,256,3.5900538984926462,8,-7.7,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,18,262144,524288,4096,52428,64,14,64,33.63686082361014,22,-7.1,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,18,262144,524288,8192,52428,64,14,128,11.721453551388974,12,-7.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,18,262144,524288,65536,52428,64,14,1024,-0.8991906558648693,4,-8.5,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,18,262144,524288,16384,52428,64,14,256,3.5900538984926462,8,-7.7,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,18,262144,524288,4096,52428,64,14,64,12.248634049493262,16,-7.7,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,18,262144,524288,1024,52428,64,14,16,40.534806015742845,32,-7.2,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,18,262144,524288,8192,52428,64,14,128,3.307928362863344,7,-8.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,18,262144,524288,4096,52428,64,14,64,22.90930587541376,13,-8.0,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
