outer_label,message_exponent,step_bits,target_q1_margin,smallest_tested_passing_state,attained_margin,status
"extended BCH [128,64,22] exact",16,64,0,14,35.55780813711561,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,64,20,14,35.55780813711561,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,128,0,14,35.503361345388896,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,128,20,14,35.503361345388896,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,256,0,14,35.25445444865065,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,256,20,14,35.25445444865065,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",16,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,64,0,14,33.63686082361014,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,64,20,14,33.63686082361014,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,128,0,14,33.6901754400304,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,128,20,14,33.6901754400304,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,256,0,14,33.65977454016694,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,256,20,14,33.65977454016694,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",18,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",20,64,0,14,31.243163966359326,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",20,64,20,14,31.243163966359326,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",20,64,40,,,Q1 screen only; no full-occupation guarantee
