constituent,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,inner,state_bits,step_bits,epochs_per_region,comparison,reference_rm2sub_state_bits,margin_bits,dominant_weight,dominant_log_surprisal,a_minimum_distance
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,15,1,512,same-stored-state-bits,15,0.19198367171044017,8,-4.8999999999999995,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,22,1,512,same-live-state-reset-rate,15,9.248723850562234,8,-4.1,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RM2Sub,15,128,4,rm2sub,15,8.683201392772832,8,-4.1,48
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,16,1,512,same-stored-state-bits,16,2.330481610909466,8,-4.699999999999999,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,23,1,512,same-live-state-reset-rate,16,9.895827641248415,8,-4.0,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RM2Sub,16,128,4,rm2sub,16,9.1780885015523,8,-4.0,48
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,18,1,512,same-stored-state-bits,18,5.512682355785146,8,-4.5,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,25,1,512,same-live-state-reset-rate,18,10.981948943781234,8,-3.799999999999999,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RM2Sub,18,128,4,rm2sub,18,10.121326983417395,8,-3.9000000000000004,48
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,19,1,512,same-stored-state-bits,19,6.692421107210341,8,-4.3999999999999995,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,26,1,512,same-live-state-reset-rate,19,11.504308776001233,8,-3.799999999999999,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RM2Sub,19,128,4,rm2sub,19,10.532304320695948,8,-3.799999999999999,48
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,20,1,512,same-stored-state-bits,20,7.678481777823368,8,-4.3,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RandomStepConv,27,1,512,same-live-state-reset-rate,20,11.993017025158082,8,-3.6999999999999993,
"extended BCH [32,16,8]",32,16,13,8192,16384,512,1638,RM2Sub,20,128,4,rm2sub,20,10.881156401446727,8,-3.799999999999999,32
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,15,1,2048,same-stored-state-bits,15,-7.485537259508718,8,-6.5,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,22,1,2048,same-live-state-reset-rate,15,5.744633784608389,8,-5.699999999999999,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RM2Sub,15,128,16,rm2sub,15,7.199383632097626,8,-5.5,48
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,16,1,2048,same-stored-state-bits,16,-4.3867084717713025,8,-6.3999999999999995,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,23,1,2048,same-live-state-reset-rate,16,6.600955428800791,8,-5.6,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RM2Sub,16,128,16,rm2sub,16,7.755614284656577,8,-5.3999999999999995,48
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,18,1,2048,same-stored-state-bits,18,0.3615523133017338,8,-6.1,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,25,1,2048,same-live-state-reset-rate,18,8.027962862229892,8,-5.3999999999999995,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RM2Sub,18,128,16,rm2sub,18,8.783904488134143,8,-5.3,48
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,19,1,2048,same-stored-state-bits,19,2.117822313948388,8,-6.0,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,26,1,2048,same-live-state-reset-rate,19,8.642180644982993,8,-5.3,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RM2Sub,19,128,16,rm2sub,19,9.265133444697621,8,-5.199999999999999,48
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,20,1,2048,same-stored-state-bits,20,3.5564644097147657,8,-5.8999999999999995,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RandomStepConv,27,1,2048,same-live-state-reset-rate,20,9.197828123527612,8,-5.199999999999999,
"extended BCH [32,16,8]",32,16,15,32768,65536,2048,6553,RM2Sub,20,128,16,rm2sub,20,9.676007023070778,8,-5.1,32
"extended BCH [128,64,22]",128,64,13,8192,16384,128,1638,RandomStepConv,15,1,128,same-stored-state-bits,15,28.861704714789266,22,-3.9000000000000004,
