series,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"extended BCH [32,16,8] exact",structured,32,16,8,256,10,52,0.1015625,4.106764702032891,8,-1.5
"extended BCH [32,16,8] exact",structured,32,16,9,512,11,103,0.1005859375,3.580172018539194,8,-2.0
"extended BCH [32,16,8] exact",structured,32,16,10,1024,12,205,0.10009765625,2.7402315783104196,8,-3.0
"extended BCH [32,16,8] exact",structured,32,16,11,2048,13,410,0.10009765625,2.0994309227649874,8,-3.5
"extended BCH [32,16,8] exact",structured,32,16,12,4096,14,820,0.10009765625,0.9510287806639252,8,-4.0
"extended BCH [32,16,8] exact",structured,32,16,13,8192,15,1639,0.10003662109375,0.06320278921502326,8,-5.0
"extended BCH [32,16,8] exact",structured,32,16,14,16384,16,3277,0.100006103515625,-0.8022939164147497,8,-5.500000000000016
"extended BCH [32,16,8] exact",structured,32,16,15,32768,17,6554,0.100006103515625,-1.7910435440955899,8,-6.2000000000000135
"extended BCH [32,16,8] exact",structured,32,16,16,65536,18,13108,0.100006103515625,-2.7840669710401156,8,-6.900000000000011
"extended BCH [32,16,8] exact",structured,32,16,17,131072,19,26215,0.10000228881835938,-3.778824378675344,8,-7.6000000000000085
"extended BCH [32,16,8] exact",structured,32,16,18,262144,20,52429,0.10000038146972656,-4.775501964031627,8,-8.300000000000006
"extended BCH [32,16,8] exact",structured,32,16,19,524288,21,104858,0.10000038146972656,-5.773640116443531,8,-9.000000000000004
"extended BCH [32,16,8] exact",structured,32,16,20,1048576,22,209716,0.10000038146972656,-6.772649713585214,8,-9.700000000000001
"random full-rank [32,16] reused",random,32,16,8,256,10,52,0.1015625,0.8663036610104885,5,-2.0
"random full-rank [32,16] reused",random,32,16,9,512,11,103,0.1005859375,0.05329928443185078,5,-3.0
"random full-rank [32,16] reused",random,32,16,10,1024,12,205,0.10009765625,-0.8920897897178659,4,-4.0
"random full-rank [32,16] reused",random,32,16,11,2048,13,410,0.10009765625,-1.846920178881583,5,-4.0
"random full-rank [32,16] reused",random,32,16,12,4096,14,820,0.10009765625,-2.804027989215689,4,-5.200000000000017
"random full-rank [32,16] reused",random,32,16,13,8192,15,1639,0.10003662109375,-3.7696085565885786,4,-5.900000000000015
"random full-rank [32,16] reused",random,32,16,14,16384,16,3277,0.100006103515625,-4.762066242378556,4,-6.600000000000012
"random full-rank [32,16] reused",random,32,16,15,32768,17,6554,0.100006103515625,-5.761516846942582,4,-7.30000000000001
"random full-rank [32,16] reused",random,32,16,16,65536,18,13108,0.100006103515625,-6.761658915396486,4,-8.000000000000007
"random full-rank [32,16] reused",random,32,16,17,131072,19,26215,0.10000228881835938,-7.761510484878765,4,-8.700000000000005
"random full-rank [32,16] reused",random,32,16,18,262144,20,52429,0.10000038146972656,-8.765996091611742,4,-9.400000000000002
"random full-rank [32,16] reused",random,32,16,19,524288,21,104858,0.10000038146972656,-9.763322142024073,4,-10.0
"random full-rank [32,16] reused",random,32,16,20,1048576,22,209716,0.10000038146972656,-10.826276106246073,4,-11.0
"extended BCH [128,64,22] exact",structured,128,64,8,256,10,52,0.1015625,25.878521941971314,22,-0.5
"extended BCH [128,64,22] exact",structured,128,64,9,512,11,103,0.1005859375,28.32300517622677,22,-1.5
"extended BCH [128,64,22] exact",structured,128,64,10,1024,12,205,0.10009765625,29.693948379636534,22,-2.0
"extended BCH [128,64,22] exact",structured,128,64,11,2048,13,410,0.10009765625,30.013770335419977,22,-2.5
"extended BCH [128,64,22] exact",structured,128,64,12,4096,14,820,0.10009765625,29.09687504438958,22,-3.0
"extended BCH [128,64,22] exact",structured,128,64,13,8192,15,1639,0.10003662109375,28.468879663234567,22,-4.0
"extended BCH [128,64,22] exact",structured,128,64,14,16384,16,3277,0.100006103515625,27.909202294864212,22,-4.5
"extended BCH [128,64,22] exact",structured,128,64,15,32768,17,6554,0.100006103515625,27.021466613024288,22,-5.200000000000017
"extended BCH [128,64,22] exact",structured,128,64,16,65536,18,13108,0.100006103515625,26.060323172177586,22,-5.900000000000015
"extended BCH [128,64,22] exact",structured,128,64,17,131072,19,26215,0.10000228881835938,25.08282961731936,22,-6.600000000000012
"extended BCH [128,64,22] exact",structured,128,64,18,262144,20,52429,0.10000038146972656,24.09477541102343,22,-7.30000000000001
"extended BCH [128,64,22] exact",structured,128,64,19,524288,21,104858,0.10000038146972656,23.100235810893334,22,-8.000000000000007
